,Price,Area,Mặt tiền,Số phòng ngủ,Hướng ban công,Tình trạng pháp lý,Hướng nhà,Số tầng,Bồn cầu,City,District,Name
89,1025.0,52.5,None,1.0,None,Sổ hồng,None,None,1.0,Hà Nội,Quận Ba Đình,Bán Căn hộ chung cư tại Phố Liễu Giai
90,740.0,41.0,None,2.0,None,Sổ đỏ,None,None,1.0,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Đường Hồ Ba Mẫu
91,825.0,43.5,None,2.0,None,Sổ đỏ,None,None,1.0,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Phố Khương Thượng
92,1230.0,61,None,3.0,None,None,None,None,1.0,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Phường Láng Hạ
93,875.0,40.0,None,2.0,None,Sổ hồng,None,None,1.0,Hà Nội,Quận Đống Đa,Bán Căn hộ chung cư tại Phường Kim Liên
94,860.0,43.0,None,2.0,None,Sổ đỏ,None,None,1.0,Hà Nội,Quận Ba Đình,Bán Căn hộ chung cư tại Đường Hoàng Hoa Thám
95,800.0,45.0,None,2.0,None,Sổ đỏ,None,None,1.0,Hà Nội,Quận Tây Hồ,Bán Căn hộ chung cư tại Đường Bưởi
96,Thỏa thuận,140,7m,None,None,Sổ hồng,None,None,None,Hà Nội,Quận Long Biên,Bán Đất tại Đường Hoa Lâm
97,Thỏa thuận,125,11m,None,None,Sổ hồng,None,3.0,None,Hà Nội,Quận Long Biên,Bán Nhà riêng tại Đường Bắc Cầu
98,3600.0,31.5,35m,None,None,Sổ đỏ,None,5.0,1.0,Hà Nội,Quận Nam Từ Liêm,Bán Nhà riêng tại Đường Lê Quang Đạo
102,4550.0,35,"3,5m",4.0,None,None,None,6.0,None,Hà Nội,Quận Thanh Xuân,Bán Nhà riêng tại Đường Lê Trọng Tấn
104,22000.0,81,None,None,None,Sổ đỏ,None,None,1.0,Hà Nội,Quận Cầu Giấy,Bán Nhà riêng tại Đường Quan Hoa
105,"4,2",35,None,3.0,None,Sổ đỏ,None,5.0,None,Hà Nội,Quận Hoàng Mai,Bán Nhà riêng tại Đường Kim Đồng
107,Thỏa thuận,64.5,None,2.0,None,Sổ đỏ,None,8.0,1.0,Hà Nội,Quận Nam Từ Liêm,Bán Căn hộ chung cư tại Đường Trần Hữu Dực
109,18100.0,75,None,None,None,Sổ đỏ,None,None,1.0,Hà Nội,Quận Cầu Giấy,Bán Nhà riêng tại Đường Nguyễn Đình Hoàn
111,999,16,None,None,None,None,None,None,None,Hà Nội,Huyện Chương Mỹ,Bán Đất tại Thị trấn Xuân Mai
