price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
"7,8 tỷ VNĐ",Khương Đình Thanh Xuân Hà Nội, 45m2, 6,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496815.4808059,,,,
9 tỷ VNĐ,phúc la, 52m2, 6,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496816.4613614, 4, 8, 5,
"6,5 tỷ VNĐ",cầu giấy hà nội, 66m2,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496817.339699,,,,
"12,8 tỷ VNĐ",Trần Quốc Hoàn, 41m2,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496818.5056994,,,,
"7,1 tỷ VNĐ",văn quán, 56m2, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496819.4503553,, 6, 4,
"3,5 tỷ VNĐ",Đường Thượng Thanh phường Thượng Thanh, 47m2,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496820.6142566, 3,,,
"4,2 tỷ VNĐ",Đường Tây Sơn phường Quang Trung, 50m2, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496821.5815008, 5, 3, 4, 15
"12,2 tỷ VNĐ",135 Trường Chinh, 34m2, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496822.598198, 8, 4, 4,
"4,2 tỷ VNĐ",Đường Tây Sơn phường Quang Trung, 50m2, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496823.6615863, 5, 3, 4, 15
12 tỷ VNĐ,Lê Hồng Phong- Hà Đông, 58m2, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496825.1145768,,,,
12 tỷ VNĐ,Trưng Nhị- Hà Đông, 58m2, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496826.145118,,,,
"3,35 tỷ VNĐ",La Khê- Hà Đông, 40m2, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496827.291977,,,,
"3,35 tỷ VNĐ",Hà Trì- Hà Đông, 40m2, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496828.590738,,,,
11 tỷ VNĐ,"Trâu Quỳ, Gia Lâm, hà Nội", 42m2,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496829.7876704, 4,,,
"1,3 tỷ VNĐ",Đường Quốc lộ 3 phường Nguyên Khê, 56m2,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496830.922305, 4,,,
63 tỷ VNĐ,Nguyễn Khắc Nhu Ba Đình Hà Nội, 172m2,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496831.9688013, 7,,,
"5,1 tỷ VNĐ",Đường Lạc Long Quân phường Bưởi, 35m2, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496833.2787573, 3, 3, 3, 3
"10,9 tỷ VNĐ",Trần Quang Diệu Đống Đa Hà Nội, 50m2, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496834.5036223,, 3, 4,
"6,3 tỷ VNĐ",Đường cầu giấy phường quan hoa, 50m2, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496835.6898112, 4, 5, 5, 3
"7,6 tỷ VNĐ",Đường Thái Thịnh phường Láng Hạ, 39m2, 6,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496836.824151, 4, 4, 5, 3
