price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
26 tỷ VNĐ,"Đường Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng", 162m2, 4, 6, 20, 21,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440212.2474165,,
"3,3 tỷ VNĐ","💥Chính chủ bán nhà SĐCC ở phố Lụa, phường Vạn Phúc, Hà Đông, 3,3 tỷ; 0969192319", 22m2,,,,,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440214.3589394,,
"6,15 tỷ VNĐ","Thanh Xuân, Hà Nội", 46m2,,,,,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440216.9613674,,
"15,5 tỷ VNĐ",PHƯỜNG NAM ĐỒNG QUẬN ĐỐNG ĐA, 23m2,,,,,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440218.907239,,
"3,5 tỷ VNĐ","Đường Thái Thịnh, Ngã Tư Sở, Đống Đa", 39m2, 3, 5, 3, 4,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440221.3430586, 3,
21 tỷ VNĐ,dịch vọng, 63m2,,,,,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440223.823689,,
45 tỷ VNĐ,"Đường Ngụy Như Kon Tum, Nhân Chính, Thanh Xuân", 100m2, 8, 7, 8, 10,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440226.6152904, 10,
28 tỷ VNĐ,"Đường Giảng Võ, Cát Linh, Đống Đa", 70m2, 8, 5, 7, 8,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440229.156453, 5,
"3,2 tỷ VNĐ","Đường Tôn Đức Thắng, Ô Chợ Dừa, Đống Đa", 30m2, 10, 2, 2, 2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440231.1135108,,
"10,8 tỷ VNĐ","Đường Hữu Hưng, Cầu Diễn, Nam Từ Liêm", 96m2, 12, 4, 4, 5,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440233.28814, 6,
"2,7 tỷ VNĐ",Bạch Đằng - Hà Nội, 45m2,,,,,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440235.7184682,,
"3,7 tỷ VNĐ",Thanh Liệt, 63m2,,,,,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440238.4554732,,
10 tỷ VNĐ,"Đường Cầu Giấy, Trung Hòa, Cầu Giấy", 60m2, 4, 5, 6, 4,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440240.6454976, 4, Tây nam
10 tỷ VNĐ,"Đường Cầu Giấy, Trung Hòa, Cầu Giấy", 60m2, 4, 5, 6, 4,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440243.0887642, 4, Tây nam
828 triệu VNĐ,"Đường Tả Thanh Oai, Tả Thanh Oai, Thanh Trì", 20m2, 5, 3, 2, 1,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440245.2132697, 4,
4 tỷ VNĐ,"Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 44m2, 3, 5, 2, 4,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440247.6054466, 4,
"4,6 tỷ VNĐ","Đường Hào Nam, Cát Linh, Đống Đa", 40m2, 1,,,,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440249.3533194,,
"5,1 tỷ VNĐ","Đường Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy", 50m2, 2, 5, 6, 4,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440251.5787356, 3,
"5,9 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 35m2, 4, 4, 3, 3,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440253.9210489, 3,
6 tỷ VNĐ,"Đường Thái Hà, Trung Liệt, Đống Đa", 40m2, 2, 6, 4, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440256.3878655, 3,
