price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
"6,4 tỷ VNĐ","Bán nhà số 2 ngõ 250/89 Kim Giang, Đại Kim, Hoàng Mai; 6,4 tỷ; 0914661941", 60m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492137.1111338,,,,,,
"2,9 tỷ VNĐ",Đường Hà Trì phường Hà Cầu, 37m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492138.791967, 4, 3, 4, 4, 4,
36 triệu VNĐ/m2,"135 Trần Phú, Văn Quán", 98m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492149.5250635,,, 10, 2, 2,
"3,38 tỷ VNĐ",Đường Phú Đô phường Phú Đô, 33m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492152.2207446,, 2, 5, 6, 7,
"26,5 tỷ VNĐ",Phân lô Trung Kính vỉa hè rộng DT 70m x 7 tầng giá 26 tỷ 5, 70m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492153.6806548,,,,,,
"1,08 tỷ VNĐ",hh3 linh đàm, 45m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492155.3411524,,,, 2, 1,
"1,08 tỷ VNĐ",hh3 linh đàm, 45m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492156.8002582,,,, 2, 1,
"24,5 tỷ /tháng",123 Thái Hà, 71m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492158.220329, 4,, 7, 4, 6,
"5,9 tỷ VNĐ",Đường Cầu Giấy phường Yên Hòa, 50m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492159.369803, 4, 5, 5, 4, 4,
"1,88 tỷ VNĐ",rice city linh đàm, 57.5m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492160.4132197,,,, 2, 1, Đông bắc
"11,8 tỷ VNĐ","Luxury, Kiến Hưng, Hà Đông, Hà Nội", 70m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492161.6187992, 5, 10, 5, 4,,
4 tỷ VNĐ,"Đinh Liệt, Hoàn Kiếm", 25m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492164.3674262,,,,,,
34 tỷ VNĐ,"Đường Cầu Giấy, Cầu Giấy, Hà Nội", 185m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492167.4333613, 10,, 4, 10, 6,
5 tỷ VNĐ,Đường Hoàng Quốc Việt phường Nghĩa Đô, 53m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492168.937016, 4, 3, 5, 4, 5,
"4,8 tỷ VNĐ/m2","phố Lê Quang Đạo P. Mễ Trì, Q. Nam Từ Liêm, TP Hà Nội", 87m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492170.8589292,,, 6, 2, 2, Nam
76 triệu VNĐ,Đường Quốc lộ 32 phường Trạm Trôi, 118m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492172.3144877, 6,,,,,
"1,3 tỷ VNĐ",135 Trần Phú, 98m2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492173.8029609, 10, 10, 1, 2, 2, Tây bắc
"15,3 tỷ VNĐ",Thái Hà, 40m2,18/02/2021,Tin thường,batdongsan_so_com_vn_1670492175.0668836,,,,,,
10 tỷ VNĐ,Láng Hạ, 66m2,19/02/2021,Tin thường,batdongsan_so_com_vn_1670492176.1311119,,,,,,
