price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
150 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2, 10,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468525.4929583,,,,,
"1,579 tỷ VNĐ","Đường Võ Nguyên Giáp, Mai Đình, Sóc Sơn", 60m2, 4,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468527.7165267,,,,,
"4,4 tỷ VNĐ","Đường Đội cấn, Ngọc Hà, Ba Đình", 45m2, 4,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468530.4209986, 6, 4, 4, 4,
9 tỷ VNĐ,"Đường Bạch Mai, Bạch Mai, Hai Bà Trưng", 40m2, 6,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468532.5654926, 20, 6, 6, 6,
"1,05 tỷ VNĐ","Chính chủ bán CHCC mini phố Tôn Đức Thắng, Đống Đa, 1,05 tỷ; 0989323391", 35m2,,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468535.0363688,,,,,
"5,8 tỷ VNĐ","Đường Cầu Giấy, Dịch Vọng, Cầu Giấy", 44m2, 4,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468536.903488, 2, 5, 4,,
"8,5 tỷ VNĐ","Khi Hồ Voi, Xã Cổ Bi, Huyện Gia Lâm, Thành Phố Hà Nội", 70m2,,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468539.211369,, 4, 3, 4,
"2,9 tỷ VNĐ","Đường Lê Trọng Tấn, La Khê, Hà Đông", 32m2, 4,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468542.0999894, 3, 2, 2, 2, Bắc
"8,5 tỷ VNĐ",Tân Nhuệ, 124m2, 8,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468543.893153, 6, 1, 1,,
"2,7 tỷ VNĐ","Đức Giang, Thượng Thanh, Long Biên", 37m2, 5,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468546.1705902,,,,,
"5,5 tỷ VNĐ","Đường Tây Sơn, Ngã Tư Sở, Đống Đa", 55m2, 4,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468549.752806, 10, 5, 4, 4,
"6,5 tỷ VNĐ",Kiến Hưng - Hà Đông, 60m2, 5,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468552.2933037,,,,,
"4,75 tỷ VNĐ",Quang Trung- Hà Đông, 69m2, 4,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468553.9516928,,,,,
"5,5 tỷ VNĐ","Đường Tây Sơn, Ngã Tư Sở, Đống Đa", 55m2, 4,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468555.9640698, 10, 5, 4, 4,
"12,7 tỷ VNĐ","Đường Biến Thế, Khương Trung, Thanh Xuân", 57m2,,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468559.9487, 3, 4, 5, 3,
899 triệu VNĐ,"Đường Mễ Trì, Tây Mỗ, Nam Từ Liêm", 132m2, 6,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468563.2176251,,,,,
4 tỷ VNĐ,"chùa bộc, đống đa", 36m2,,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468565.409504,,,,,
"2,3 tỷ VNĐ","Đường Giang Biên, Giang Biên, Long Biên", 45m2, 5,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468567.9350276, 4, 1, 1, 1,
5 tỷ VNĐ,Phương Canh, 100m2, 4,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468569.8061607, 3,,,,
15 tỷ VNĐ,"Đường Trần Quang Diệu, Ô Chợ Dừa, Đống Đa", 50m2,,08/11/2022,Tin thường,batdongsan_so_com_vn_1670468572.0069952, 1, 5,,,
