price,address,Diện tích,Mặt tiền,Lộ giới,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"9,8 tỷ VNĐ","Trần Phú, Hà Đông, Hà Nội", 53m2, 14, 8,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495526.982695,,,
"8,5 tỷ VNĐ",Mỗ Lao- Hà Đông, 44m2,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495528.0139282, 6,,
"8,5 tỷ VNĐ",Văn Quán - Hà Đông, 44m2,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495528.8663995, 6,,
"4,5 tỷ VNĐ",Văn Phú- Hà Đông, 37m2,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495530.0866065, 4,,
"4,5 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 38m2,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495531.1151237, 4,,
"26,3 tỷ VNĐ",Đường Giải Phóng phường Phương Liệt, 67m2, 4, 20,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495531.9345448, 1, 2, 2
"2,8 tỷ VNĐ",Đường Lễ Pháp phường Tiên Dương, 64m2, 4,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495533.1479278,,,
24 tỷ VNĐ,Đường Chu Huy Mân phường Phúc Đồng, 190m2, 10, 21,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495534.1348295, 4, 4, 4
14 tỷ VNĐ,PHỐ ĐÀM QUANG TRUNG, 80m2, 6,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495535.6860857, 5,, 4
"1,8 tỷ VNĐ",Đường Lê Xá phường Mai Lâm, 46m2, 4,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495536.9025233,,,
"1,3 tỷ VNĐ",Đường Độc Lập phường Cự Khối, 33m2, 3,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495537.7049947,,,
3 tỷ VNĐ,Đường Quốc lộ 1A phường Tứ Hiệp, 38m2, 3, 1,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495538.977768,,,
"1,8 tỷ VNĐ",Đường Lê Xá phường Mai Lâm, 46m2, 4,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495540.0464115,,,
866 triệu VNĐ,long biên hà nội, 80m2, 5, 6,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495540.9561033,,,
"5,1 tỷ VNĐ","Đường Trường Chinh, Thanh Xuân, Hà Nội", 48m2, 5,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495542.0111978, 4, 4, 4
4 tỷ VNĐ,Đường  phường Trâu Quỳ, 56m2, 4,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495543.0718715,,,
4 tỷ VNĐ,Hào Nam- Đống đa, 31m2,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495548.4547033, 5, 3, 3
"3,9 tỷ VNĐ",Đường Trung Kính phường Trung Hòa, 43m2, 4, 3,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495549.509753, 5, 4, 4
10 tỷ VNĐ,Yên Lãng, 51m2,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495550.324035, 7,,
60 triệu VNĐ,Đường 5 phường Xuân Canh, 60m2,,,14/09/2022,Tin thường,batdongsan_so_com_vn_1670495551.388043,,,
