price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng
"2,99 tỷ VNĐ","Đường Đại Từ, Đại Kim, Hoàng Mai", 95m2, 12, 1, 1, 3, 2,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441865.4089878,
"3,55 tỷ VNĐ","Đường Tây Sơn, Quang Trung, Đống Đa", 30m2,, 7, 4, 3, 2,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441867.730017,
"6,2 tỷ VNĐ","30 Phùng Khoang, Nam Từ Liêm, Hà Nội", 45m2, 6,, 5, 4, 4,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441870.08698,
"19,2 tỷ VNĐ","Đường Lê Trọng Tấn, La Phù, Hoài Đức", 390m2, 18,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441872.633593,
6 tỷ VNĐ,"Đường Mỹ Đình, Mỹ Đình 1, Nam Từ Liêm", 55m2, 5, 3, 5, 4, 3,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441874.3081512,
"7,3 tỷ VNĐ","Đường , An Thượng, Hoài Đức", 146m2,, 20, 2, 2, 2,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441876.1673687,
"5,2 tỷ VNĐ","Đường Cầu Diễn, Phúc Diễn, Bắc Từ Liêm", 45m2, 3, 1, 5, 6, 4,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441878.257914, Đông nam
"3,2 tỷ VNĐ","Đường Quan Nhân, Nhân Chính, Thanh Xuân", 32m2, 4, 3, 4,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441880.4097955,
4 tỷ VNĐ,"Đường Xuân La, Xuân La, Tây Hồ", 30m2, 3, 2, 5, 4, 4,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441883.453255,
"5,95 tỷ VNĐ","Đường Láng, Láng Hạ, Đống Đa", 56m2, 4, 2, 4, 4, 4,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441887.06792, Đông
"12,5 tỷ VNĐ","Đường An Dương Vương, Quảng An, Tây Hồ", 83m2, 5,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441889.4967687,
"5,2 tỷ VNĐ","Đường Cầu Giấy, Quan Hoa, Cầu Giấy", 44m2, 5, 3, 4,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441891.5640423,
2 tỷ VNĐ,"Đường Vũ Xuân Thiều, Sài Đồng, Long Biên", 30m2, 3,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441893.8534029,
56 tỷ VNĐ,"trần đại nghĩa , bách khoa , hai bà trưng", 126m2, 8, 25, 4, 5, 5,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441896.4334822,
"3,45 tỷ VNĐ",Tả Thanh Oai, 50m2,,,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441898.8545988,
33 tỷ VNĐ,"Đường , Việt Hưng, Long Biên", 209m2, 11, 15, 3, 4, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441900.8345113, Đông bắc
"4,3 tỷ VNĐ","Đường Vũ Xuân Thiều, Sài Đồng, Long Biên", 48m2, 5, 2, 6, 5, 6,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441903.213151,
"13,5 tỷ VNĐ",Khúc Thừa Dụ Cầu Giấy Hà Nội, 62m2, 5,, 4, 4, 4,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441905.4036853,
"11,2 tỷ VNĐ","Đường Nguyễn Văn Cừ, Bồ Đề, Long Biên", 65m2, 5, 5, 4, 5,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441907.6250896,
"2,6 tỷ VNĐ",Đại La - Đồng Tâm, 45m2,,,,,,30/11/2022,Tin thường,batdongsan_so_com_vn_1670441910.0888205,
