price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id
"24,5 tỷ VNĐ",Đường Xuân La phường Xuân La, 101m2, 5, 10, 6, 10, 10,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479767.1192968
6 tỷ VNĐ,Đường Quang Trung phường Quang Trung, 42m2, 4,,,,,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479769.0515747
"7,6 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 50m2, 3, 3, 5, 9, 10,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479771.251526
"4,3 tỷ VNĐ",Đường Cổ Linh phường Sài Đồng, 100m2, 5,,,,,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479773.1688273
"7,2 tỷ VNĐ",Đường Hà Trì phường Hà Cầu, 70m2, 4,,,,,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479775.5361018
"6,9 tỷ VNĐ",Đường Minh Khai phường Thanh Lương, 78m2, 3, 4, 4, 4, 5,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479777.6005588
"4,2 tỷ VNĐ",Đường Thụy Khuê phường Thụy Khuê, 55m2, 3, 2, 4, 4, 2,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479780.3084497
"4,4 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 46m2, 5, 3, 4, 4, 3,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479782.7266464
13 tỷ VNĐ,Đường Tam Khương phường Khương Thượng, 82m2, 5, 9, 5, 4, 5,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479784.7861462
"31,5 tỷ VNĐ",Bán nhà phân lô Trần Quốc Vượng 96 x 8 tầng thang máy, 96m2,,,,,,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479787.5891578
"1,9 tỷ VNĐ",Đường Huỳnh Văn Nghệ phường Phúc Đồng, 54m2, 20, 50, 18, 2, 1,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479789.981156
"16,8 tỷ VNĐ",Đường Trung Kính phường Trung Hòa, 85m2, 6, 3, 8, 15, 15,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479794.8620543
"8,6 tỷ VNĐ",Đường Thái Hà phường Láng Hạ, 34m2, 5, 6, 4, 5,,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479797.1392355
"5,1 tỷ VNĐ","Chính chủ bán nhà 4 tầng xây mới thôn 13, Tân Lập, Vĩnh Ninh, Vĩnh Quỳnh, Thanh Trì; 5,1 tỷ; 0968759099", 53m2,,,,,,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479799.7866404
"6,3 tỷ VNĐ",Trần Đăng Ninh, 41m2, 4, 8, 1, 2,,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479819.2653081
"4,4 tỷ VNĐ",Đường Khương Hạ  phường Khương Đình, 40m2, 5, 3, 5, 3, 4,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479821.4310741
"3,6 tỷ VNĐ",Đường Lĩnh Nam phường Lĩnh Nam, 30m2, 3, 1, 5, 3, 3,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479823.8615255
"9,5 tỷ VNĐ",Đường Đàm Quang Trung phường Phúc Đồng, 62m2, 6, 5, 6, 4, 5,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479829.9536622
70 tỷ VNĐ,Vũ Miên Tây Hồ Hà Nội, 95m2, 12,, 8, 10, 10,11/10/2022,Tin thường,batdongsan_so_com_vn_1670479832.6657884
