price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền
"2,7 tỷ VNĐ",Đường Phạm Hùng phường Mỹ Đình 2, 70m2, 30, 1, 2, 1,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479195.0983307,
"34,5 tỷ VNĐ",Quận Cầu Giấy, 79m2,,,,,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479197.0176556,
"7,1 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 70m2, 4, 5, 14, 15,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479200.6918707, 5
"2,5 tỷ VNĐ",Đường Phúc La - Văn Phú phường Phúc La, 72m2, 10, 1, 2, 2,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479203.5099525, 8
"2,2 tỷ VNĐ",Đường Cổ Điển B phường Tứ Hiệp, 88m2, 1, 17, 2, 2,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479205.7582297,
6 tỷ VNĐ,Đường 21 phường Phú Cát, 300m2,,,,,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479208.206356, 15
"3,4 tỷ VNĐ","nguyễn văn cừ, gia thụy", 40m2, 3,,,,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479210.713968, 6
"2,5 tỷ VNĐ",Đường Sài Đồng phường Sài Đồng, 46m2,,,,,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479213.1079326, 4
3 tỷ VNĐ,Đường Lê Quang Đạo phường Phú Đô, 36m2, 4, 5,,,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479216.3074815, 4
"32,3 tỷ VNĐ",Đường Lâm Hạ phường Bồ Đề, 205m2, 7, 4, 4, 4,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479218.2898803, 8
"10,7 tỷ VNĐ",Đường Lê Thanh Nghị phường Đồng Tâm, 81m2, 2, 6, 11, 11,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479221.6718192, 4
,Đường  phường Dương Xá, 81m2, 50, 27, 4, 2,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479223.8707836,
"24,5 tỷ VNĐ",Đường Trung Văn phường Trung Văn, 77m2, 20, 5, 4, 4,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479226.7060204, 5
36 tỷ VNĐ,Đường Xã Đàn phường Trung Phụng, 45m2, 30, 7, 4, 6,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479229.4718144, 5
54 tỷ VNĐ,Đường Sài Đồng phường Sài Đồng, 500m2, 9, 4, 4, 4,12/10/2022,Tin thường,batdongsan_so_com_vn_1670479236.6610043, 20
330 tỷ VNĐ,quận cầu giây, 550m2,,,,,08/01/2022,Tin thường,batdongsan_so_com_vn_1670479238.5270028,
72 tỷ VNĐ,quận thanh xuân, 250m2,,,,,08/01/2022,Tin thường,batdongsan_so_com_vn_1670479240.9865751,
63 tỷ VNĐ,quận đống đa, 130m2,,,,,08/01/2022,Tin thường,batdongsan_so_com_vn_1670479243.1124399,
72 tỷ VNĐ,quận cầu giấy, 210m2,,,,,08/01/2022,Tin thường,batdongsan_so_com_vn_1670479245.46871,
56 tỷ VNĐ,quận  hà đông, 150m2,,,,,08/01/2022,Tin thường,batdongsan_so_com_vn_1670479247.1203165,
