price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet,Hướng
6 tỷ VNĐ,"Đường trung kính, Trung Hòa, Cầu Giấy", 40m2, 3, 5, 3,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444101.4280677,,,
12 tỷ VNĐ,Thái Hà, 49m2,, 5,,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444104.3424885,,,
"2,15 tỷ VNĐ","Việt Yên, Ngũ Hiệp", 55m2,,,,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444106.1119664,,,
"7,3 tỷ VNĐ","Đường Lãng Yên, Bạch Đằng, Hai Bà Trưng", 42m2, 5, 5, 3,25/11/2022,Tin thường,batdongsan_so_com_vn_1670444108.758633, 4, 4,
"3,7 tỷ VNĐ","Đường Thanh Nhàn, Thanh Nhàn, Hai Bà Trưng", 37m2, 5, 4, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444110.9146655, 3, 3,
"5,95 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 55m2, 5, 4, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444113.4200368,, 3,
500 tỷ VNĐ,"Đường , Hàng Gai, Hoàn Kiếm", 323m2, 20, 15,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444115.2748492,,,
"12,9 tỷ VNĐ",An Dương, 65m2,, 5, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444117.343333, 4,,
"14,3 tỷ VNĐ","Đường Nguyễn Lương Bằng, Ô Chợ Dừa, Đống Đa", 57m2, 25, 4, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444118.889936,, 3,
7 tỷ VNĐ,"Ngay viện 103, Hà đông , HN", 55m2,, 8, 10,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444121.1732345,,, Tây bắc
"6,2 tỷ VNĐ","Đường vạn phúc, Vạn Phúc, Thanh Trì", 230m2,,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444123.3791318, 10,,
8 tỷ VNĐ,"Đường vạn phúc, Vạn Phúc, Thanh Trì", 330m2,,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444126.4901376, 10,,
"15,5 tỷ VNĐ",Lạc Long Quân Tây Hồ Hà Nội, 48m2,, 6, 4,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444128.962671, 4, 4,
990 triệu VNĐ,"Đường An Dương, Yên Phụ, Tây Hồ", 20m2, 1, 3, 2,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444131.3994849, 3, 2,
4 tỷ VNĐ,Phú Diễn, 40m2, 5,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444133.2974381, 3,, Tây bắc
330 triệu VNĐ,"Đường Lê Ngọc Hân, Phạm Đình Hổ, Hai Bà Trưng", 317m2, 15, 1,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444135.0938663,,,
"3,95 tỷ VNĐ","Đường Kim Ngưu, Vĩnh Tuy, Hai Bà Trưng", 30m2, 2, 5, 3,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444139.5763457, 7, 4, Đông nam
"2,7 tỷ VNĐ","Đường Tây Mỗ, Tây Mỗ, Nam Từ Liêm", 58m2,,,,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444141.7074995, 6,,
35 tỷ VNĐ,"Đường Bạch Mai, Cầu Dền, Hai Bà Trưng", 130m2, 11, 5, 5,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444144.0341194, 4, 6,
"5,9 tỷ VNĐ","Đường Nguyễn Ngọc Vũ, Trung Hòa, Cầu Giấy", 45m2, 5, 5, 6,24/11/2022,Tin thường,batdongsan_so_com_vn_1670444146.427823, 5,,
