price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"5,5 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 50m2, 10, 3, 2, 2,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443283.1388636,,
240 triệu VNĐ,"Đường Nguyễn Chí Thanh, Láng Hạ, Đống Đa", 66m2, 50, 3, 3, 3,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443285.5264716, 9,
"10,5 tỷ VNĐ",Tạ Quang Bửu Hai Bà Trưng Hà Nội, 65m2,, 3, 3,,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443287.3357103, 8,
"4,55 tỷ VNĐ","Đường Trương Định, Thịnh Liệt, Hoàng Mai", 40m2, 5, 5, 6, 4,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443289.2887723, 4,
"14,2 tỷ VNĐ","Đường Thái Hà, Trung Liệt, Đống Đa", 48m2, 5, 4, 4,,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443291.6778457, 4,
"4,6 tỷ VNĐ",Trương Định, 45m2,,,,,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443293.796338,,
"8,7 tỷ VNĐ","Đường Hoàng Sâm, Nghĩa Đô, Cầu Giấy", 38m2, 10, 7, 4, 6,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443296.1364944, 4,
"1,75 tỷ VNĐ","Đường Quang Lãm, Phú Lãm, Hà Đông", 30m2,,,,,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443298.545682, 3, Đông
19 tỷ VNĐ,"Đường Xuân Thủy, Dịch Vọng Hậu, Cầu Giấy", 60m2, 21, 1, 1, 1,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443300.8174617, 6,
83 tỷ VNĐ,"phụng thượng, phúc thọ, Hà Nội", 4200m2, 32, 3, 6, 10,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443303.0843444, 100,
4 tỷ VNĐ,"Đường Thạch Bàn, Thạch Bàn, Long Biên", 36m2, 2, 6, 4, 5,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443305.2523196, 4,
42 tỷ VNĐ,phố chùa hà cầu giấy hà nội, 120m2,, 8, 10, 10,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443307.9427059, 11,
"2,2 tỷ VNĐ",VOV Mễ Trì mua bán Vương VOV 0936354564, 74m2,,, 2, 2,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443310.43352,,
"9,9 tỷ VNĐ","Thanh Xuân, Hà Nội", 48m2,,,,,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443312.8165522,,
14 tỷ VNĐ,"Đường Tố Hữu, Nhân Chính, Thanh Xuân", 54m2, 8, 5, 4, 4,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443315.8356738, 4,
"5,5 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Trung, Thanh Xuân", 42m2, 2, 5, 4, 4,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443318.3663442, 4,
"22,8 tỷ VNĐ","đường Việt Hưng, Phường Việt Hưng, quận Long Biên, Hà Nội", 125m2,, 4, 5,,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443320.7389107,,
"1,6 tỷ VNĐ","Đường Cầu Bươu, Kiến Hưng, Hà Đông", 61m2, 30, 1, 2, 1,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443323.2764618,,
2 tỷ VNĐ,"Cổ Dương, Tiên Dương, Đông Anh, Hà Nội", 42m2,, 3,,,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443325.6149478, 4,
"3,65 tỷ VNĐ","Đường Trần Phú, Mộ Lao, Hà Đông", 112m2, 30, 1, 3, 2,26/11/2022,Tin thường,batdongsan_so_com_vn_1670443329.3025935,,
