price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet
"3,3 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 31m2, 35, 2, 4, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670481983.0007575,
"3,3 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 32m2, 35, 2, 4, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670481985.7002258,
5 tỷ VNĐ,Đường Bạch Mai phường Minh Khai, 30m2, 4, 3, 5, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670481988.0416534, 3
7 tỷ VNĐ,Đường Mạc Thị Bưởi phường Thanh Lương, 50m2, 4, 3, 5, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670481990.5000832, 3
9 tỷ VNĐ,Đường Mạc Thị Bưởi phường Thanh Lương, 60m2, 4, 3, 5, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670481992.2672634, 3
7 tỷ VNĐ,Đường Lạc Trung phường Thanh Lương, 40m2, 4, 3, 5, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670481994.8326473, 3
"9,2 tỷ VNĐ",Phúc La- Hà Đông, 58m2,,, 5,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670481997.1079435,
"9,3 tỷ VNĐ",Yên Phúc- Hà Đông, 58m2,,, 5,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482000.140804,
"4,3 tỷ VNĐ",Nguyễn Thượng Hiền- Hà Đông, 40m2,,, 5,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482005.2660365,
"4,35 tỷ VNĐ",Trần Nhật Duật - Hà Đông, 40m2,,, 5,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482008.2058437,
"9,8 tỷ VNĐ",văn phú, 60m2, 4,, 5, 6,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482010.9516306, 4
30 triệu VNĐ,Đường Hồng Mai phường Bạch Mai, 25m2, 3, 10, 1, 1,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482013.2239542, 1
"9,3 tỷ VNĐ",Yên Phúc- Hà Đông, 58m2,,, 5,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482015.356829,
"9,2 tỷ VNĐ",Phúc La- Hà Đông, 58m2,,, 6,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482018.7796133,
7 tỷ VNĐ,Đường Ngụy Như Kon Tum phường Nhân Chính, 35m2, 3, 3, 6, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482020.47615, 5
"4,3 tỷ VNĐ",Đường Khương Đình phường Khương Đình, 40m2, 4, 3, 4, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482022.763194,
"12,64 tỷ VNĐ",Đường Đài Bi phường Uy Nỗ, 218m2, 8,,,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482026.2852013,
"7,4 tỷ VNĐ","NHÀ ĐẸP, KINH DOANH CHO THUÊ DÒNG TIỀN, 58 M2, 19/05, Hà Đông, Chỉ Nhỉnh 7 Tỷ.", 58m2,,,,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482028.5080402,
"9,2 tỷ VNĐ",Nguyễn Viết Xuân, 60m2, 4, 8, 1, 2,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482030.6100376, 2
"5,8 tỷ VNĐ",Đường Lê Văn Lương phường Dịch Vọng, 103m2, 6, 9, 1, 2,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482033.0101686, 2
