price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Mặt tiền,Số toilet
"4,4 tỷ VNĐ","Đường Đội cấn, Đội Cấn, Ba Đình", 45m2, 1, 5, 4,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442632.4393272,,
"1,6 tỷ VNĐ","Đường Yên Lạc, Thanh Lương, Hai Bà Trưng", 65m2, 20, 6, 5,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442634.782305, 6, 4
"4,9 tỷ VNĐ","Đường Nguyễn Cơ Thạch, Mỹ Đình 2, Nam Từ Liêm", 50m2, 1, 5, 4,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442636.9799469, 4, 4
3 tỷ VNĐ,"Đường Nguyễn Chí Thanh, Láng Hạ, Đống Đa", 47m2, 3, 5, 4,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442638.804859, 4, 4
3 tỷ VNĐ,"Đường Nhân Mỹ, Mỹ Đình 2, Nam Từ Liêm", 30m2, 3, 4,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442640.9696414, 4,
"4,25 tỷ VNĐ","Đường Văn Phú, Phú La, Hà Đông", 40m2, 3, 5, 6,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442643.9508917, 4, 5
74 triệu VNĐ,"Đường Đại lộ Thăng Long, Xã An Thượng, Huyện Hoài Đức, Hà Nội", 53.75m2, 10,,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442646.6275344, 3,
74 triệu VNĐ,"Đường Đại lộ Thăng Long, Xã An Thượng, Huyện Hoài Đức, Hà Nội", 107.5m2, 10,,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442648.510978, 7,
"3,25 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 28m2, 3, 4, 3,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442650.5734835,, 3
175 tỷ VNĐ,"Phố Tràng Tiền, quận Hoàn Kiếm, Hà Nội", 198m2, 15, 3, 4,29/10/2022,Tin thường,batdongsan_so_com_vn_1670442653.0896397, 4, 5
"9,2 tỷ VNĐ","Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 60m2, 6, 5, 5,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442655.4283743, 4, 5
"3,7 tỷ VNĐ",Hà Trì - Hà Đông, 36m2,, 5,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442657.9346032,,
"14,5 tỷ VNĐ",Phú Lương - Hà Đông, 306m2,,,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442660.421199,,
"3,35 tỷ VNĐ","Đường Chùa Láng, Láng Thượng, Đống Đa", 33m2, 3, 2,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442662.8674595, 4,
15 tỷ VNĐ,"Đường Ngọc Lâm, Ngọc Lâm, Long Biên", 60m2, 20, 5, 5,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442664.3239832, 4, 5
45 tỷ VNĐ,"Đường Thanh Liệt, Thanh Liệt, Thanh Trì", 3000m2,,,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442667.738399, 30,
"24,5 tỷ VNĐ",Phương Mai Đống Đa Hà Nội, 85m2,, 7,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442669.9256506, 5,
"12,5 tỷ VNĐ","Đường Hoàng Ngân, Nhân Chính, Thanh Xuân", 45m2, 30, 7, 6,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442673.985048, 6,
31 tỷ VNĐ,"Đường Hoàng Hoa Thám, Ngọc Hà, Ba Đình", 310m2, 30, 15, 3,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442676.6291249, 31, 3
"6,99 tỷ VNĐ",Nguyễn Ngọc Vũ, 42m2,, 4,,28/11/2022,Tin thường,batdongsan_so_com_vn_1670442679.8551428,,
