price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng
"3,05 tỷ VNĐ","Đường Tố Hữu, Dương Nội, Hà Đông", 73m2, 6, 1, 45, 2, 2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470293.3592582,
"3,7 tỷ VNĐ","Đường Võ Nguyên Giáp, Mai Đình, Sóc Sơn", 100m2, 5,,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470296.240556, Đông nam
"3,3 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 26m2, 3, 2, 4, 2, 3,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470298.674981,
"4,2 tỷ VNĐ","Đường Bát Khối, Long Biên, Long Biên", 51m2,, 2, 5,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470301.3449078,
5 tỷ VNĐ,"Đường La Thành, Ô Chợ Dừa, Đống Đa", 45m2, 8, 3, 4, 4,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470303.401389,
"4,2 tỷ VNĐ/m2",phố 8/3, 31m2, 4,, 5, 3, 4,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470306.0759766, Nam
,Tô Hiệu - Hà Đông, 41m2,,,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470308.207777,
798 triệu VNĐ,"Cần bán 02 lô đất ở lâu dài, diện tích 61m2 tại làng nghề Chuyên Mỹ, Phú Xuyên, Hà Nội", 61m2,,,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470310.4588594,
"19,5 tỷ VNĐ","Đường Long Biên 1, Ngọc Lâm, Long Biên", 90m2, 7, 4, 5, 6, 5,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470312.3785913,
"4,1 tỷ VNĐ","Đường Nguyễn Cảnh Dị, Đại Kim, Hoàng Mai", 102m2, 6, 6, 18, 3, 2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470314.4999604,
25 tỷ VNĐ,"Đường Nguyễn Khang, Yên Hòa, Cầu Giấy, Hà Nội", 50m2, 6,, 7, 10, 10,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470316.9952936, Đông
900 triệu VNĐ,"Đường 19/12, Chương Dương Độ, Hoàn Kiếm", 132m2, 6,,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470320.881133,
"7,8 tỷ VNĐ","Đường Cổ Nhuế, Cổ Nhuế 1, Bắc Từ Liêm", 58m2, 4, 1, 7, 7, 6,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470323.1419194,
30 tỷ VNĐ,Trung Phụng Đống Đa Hà Nội, 71m2, 4,,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470324.977965,
"7,9 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 45m2, 4, 6, 5, 4, 4,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470329.905794,
"5,2 tỷ VNĐ","Đường Trung Kính, Trung Hòa, Cầu Giấy", 55m2, 4, 4, 4, 4, 4,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470332.3668342,
"7,12 tỷ VNĐ","Đường Tôn Thất Thuyết, Dịch Vọng, Cầu Giấy", 127m2,, 50,, 3, 2,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470335.0053217,
5 tỷ VNĐ,"thái hà, đống đa, hà nội.", 31m2,,,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470337.5224688,
"4,6 tỷ VNĐ","yên lãng,đống đa,hà nội.", 35m2,,,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470340.201151,
7 tỷ VNĐ,"kim mã,ba đình,hà nội.", 47m2,,,,,,04/11/2022,Tin thường,batdongsan_so_com_vn_1670470342.608717,
