price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Lộ giới
"4,1 tỷ VNĐ","Phố Thành Công, Thành Công, Ba Đình, Hà Nội.", 65m2, 8, 2, 3, 2,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504825.9953718,
"4,4 tỷ VNĐ",Đường Xuân La phường Xuân La, 33m2, 4, 5, 5, 4,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504827.1918952, 2
4 tỷ VNĐ,Đường Thụy Khuê phường Thụy Khuê, 25m2, 2, 1, 1, 1,29/07/2022,Tin thường,batdongsan_so_com_vn_1670504830.5070112, 8
"4,6 tỷ VNĐ",Quận Nam Từ Liêm, 30m2,,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505132.3600497,
"7,7 tỷ VNĐ",yên lãng, 45m2,,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505140.253712,
"4,7 tỷ VNĐ",Đường Nguyễn Chính phường Tân Mai, 40m2, 4, 5, 3, 3,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505144.0823593, 4
9 tỷ VNĐ,Đường Nguyễn Sơn phường Gia Thụy, 70m2, 9, 1, 1, 1,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505149.1076698, 4
3 tỷ VNĐ,"khu đô thị Tây Nam Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai, Hà Nội (ngay cạnh trường Chu Văn An).", 86m2,,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505152.090669,
"4,2 tỷ VNĐ",Đường An Dương Vương phường Phú Thượng, 45m2, 3, 4, 4, 3,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505153.6814134, 2
"2,47 tỷ VNĐ",Đường Nguyễn Lương Bằng phường Ô Chợ Dừa, 25m2, 4, 4, 3, 3,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505154.6970823, 2
"5,2 tỷ VNĐ","Chính chủ bán nhà 2 tầng mặt phố 251 Quang Trung, Hà Đông, 5,2 tỷ; 0948812086", 47m2,,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505155.76335,
5 tỷ VNĐ,Đường Chiến Thắng phường Văn Quán, 50m2, 1, 5, 6,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505160.0908043, 4
"2,1 tỷ VNĐ",Đường A phường Trâu Quỳ, 70m2, 7, 5, 2, 2,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505161.7873065, 50
"19,5 tỷ VNĐ",Đường Phú Diễn, 118m2,,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505162.9972355,
"5,25 tỷ VNĐ",Tô Hiệu, 34m2,, 5, 4, 4,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505164.040447,
"7,3 tỷ VNĐ",Đường Thanh Bình phường Mộ Lao, 56m2, 5, 5, 7, 4,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505169.3387916, 8
"4,5 tỷ VNĐ","mỹ đình, nam từ liêm", 42m2,,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505173.454477,
"8,7 tỷ VNĐ",Đường Nguyễn Sơn phường Gia Thụy, 65m2, 4, 3, 3, 3,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505175.4995923, 7
"4,95 tỷ VNĐ",Đường Hào Nam phường Cát Linh, 50m2,,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505176.5508194, 1
"5,35 tỷ VNĐ",68 nguyễn văn linh, 50m2,,,,,29/07/2022,Tin thường,batdongsan_so_com_vn_1670505178.2847931,
