price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
8 tỷ VNĐ,"Đường Kim Giang, Khương Đình, Thanh Xuân", 50m2, 1, 6,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471135.3025753,,,,
8 tỷ VNĐ,"Đường Khương Trung, Khương Trung, Thanh Xuân", 45m2, 1, 6,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471137.3576481, 4, 4, 4,
9 tỷ VNĐ,"Đường Nguyễn Xiển, Thanh Xuân Bắc, Thanh Xuân", 50m2, 1, 4,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471139.5527446, 4, 5, 5,
"13,5 tỷ VNĐ","Đường , , Đống Đa", 44m2, 1,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471142.1467986, 10,,,
"6,3 tỷ VNĐ","Đường Xã Đàn, Ô Chợ Dừa, Đống Đa", 45m2, 5, 4,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471144.5399268, 3, 3, 3,
14 tỷ VNĐ,"Đường phố Kim Mã, Kim Mã, Ba Đình", 73m2, 10, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471147.1216788, 5, 8, 8,
"10,8 tỷ VNĐ","Đường Lương Đình Của, Kim Liên, Đống Đa", 52m2, 1,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471149.2843227, 4,,,
"4,5 tỷ VNĐ","Phố Hồng Mai, Hai Bà Trưng, Hà Nội", 58m2,, 4,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471151.0571282, 4, 4, 3,
"1,5 tỷ VNĐ","CT12 Kim Văn Kim Lũ, Nghiêm Xuân Yêm, Hoàng Mai, Đại Kim", 53.5m2,,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471153.3217971,, 2, 2, Đông nam
"1,65 tỷ VNĐ","Đường , Phụng Châu, Chương Mỹ", 30m2, 3, 3,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471155.7263799, 4, 3, 3, Nam
14 ngàn VNĐ,"Đường Phượng Bãi, Biên Giang, Hà Đông", 31m2, 5, 3,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471157.632257, 4, 3, 3, Tây bắc
"1,5 tỷ VNĐ","Đường , Phụng Châu, Chương Mỹ", 34m2, 2, 3,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471159.4112334, 4, 3, 3, Tây
"2,3 tỷ VNĐ","Đường Bồ đề, Bồ Đề, Long Biên", 34m2, 2, 3,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471160.9824965, 3, 4, 4, Đông nam
"9,2 tỷ VNĐ",Cầu Giấy, 44m2, 4, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471164.900577, 4, 6,,
"3,1 tỷ VNĐ","Đường Tố Hữu, La Khê, Hà Đông", 74m2, 1, 45,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471167.1128752, 6, 2, 2,
"1,8 tỷ VNĐ","Đường Đản Dị, Uy Nỗ, Đông Anh", 47m2,,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471169.5030808, 3,,,
"2,49 tỷ VNĐ","Đường Đản Dị, Uy Nỗ, Đông Anh", 60m2,,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471171.8964636, 4,,,
9 tỷ VNĐ,Phạm Văn Đồng, 42m2, 4, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471174.3557603, 4, 6,,
"5,7 tỷ VNĐ","Đường Phạm Văn Đồng, Mai Dịch, Cầu Giấy", 45m2, 3, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471176.4585674, 4, 5,,
"12,5 tỷ VNĐ","Đường Nguyễn Huy Tưởng, Thanh Xuân Bắc, Thanh Xuân", 205m2, 3,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670471178.549073,, 3, 2,
