price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"3,5 tỷ VNĐ",Khương Đình, 33m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507771.9173605,,,,,
"4,3 tỷ VNĐ","đặng xá,  gia lâm, hà nội", 102m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507772.9246671, 4,,,,
"12,5 tỷ VNĐ",xuân la, 90m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507773.933422, 8, 2, 5, 9,
"9,56 tỷ VNĐ",DƯƠNG KHUÊ, 50m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507775.0255508,,,,,
"2,5 tỷ VNĐ",Đường Tân Mỹ phường Mỹ Đình 1, 130m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507775.9720292, 11, 7, 1, 2, 1
"4,8 tỷ VNĐ",Đường Nguyễn Đình Hoàn, 45m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507776.8766356, 4, 2, 4, 4, 2
"5,7 tỷ VNĐ",Đường cát Linh phường Cát Linh, 45m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507777.9487805, 3, 3, 4, 4, 4
8 tỷ VNĐ,Đường Lại Đà phường Đông Hội, 120m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507780.070409, 6,,,,
"2,8 tỷ VNĐ","Bát Khối, Long Biên", 45m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507783.6770754, 4, 4, 4, 3,
"8,5 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Ngọc Lâm, 56m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507785.3759866, 4, 6, 3, 4, 3
"9,5 tỷ VNĐ",Trần Khát Chân, 50m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507786.6097412,,,,,
"4,8 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 50m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507787.6150548, 4, 6, 5, 4, 3
"4,55 tỷ VNĐ","460 Khương Đình, Thanh Xuân", 38m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507789.4452734,,, 5, 4, 4
6 tỷ VNĐ,Đường Thái Hà phường Láng Hạ, 40m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507791.5116782,, 4, 4, 4, 3
"5,5 tỷ VNĐ",thái hà, 40m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507792.5668578,,,,,
1 tỷ VNĐ,PHỐ THÁI THỊNH, 35m2,27/06/2022,Tin thường,batdongsan_so_com_vn_1670507793.3926916,,,,,
,quang trung, 62m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507802.2824912, 4,, 4, 4, 3
"3,2 tỷ VNĐ",Đường Bằng Liệt phường Hoàng Liệt, 31m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507803.2885878, 3, 2, 5, 3, 4
"7,9 tỷ VNĐ",Đường Hồ Tùng Mậu phường Mai Dịch, -1m2,15/07/2022,Tin thường,batdongsan_so_com_vn_1670507804.2409897, 4, 3, 6, 6, 5
