price,address,Diện tích,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số toilet,Hướng
"13,5 tỷ VNĐ",Phố Trường Chinh Đống Đa Hà Nội, 75m2, 7, 10,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470721.4706867,,,,
"5,2 tỷ VNĐ",Phố Kim Ngưu Hai Bà Trưng Hà Nội, 62m2, 4, 4,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470724.9161696, 5,,,
"2,8 tỷ VNĐ","Đường Thượng Thanh, Thượng Thanh, Long Biên", 33m2, 4, 3,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470727.467937, 3, 2, 3,
"2,95 tỷ VNĐ","Đường Đội cấn, Đội Cấn, Ba Đình", 30m2, 5, 3,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470730.3026724, 3, 3, 4,
10 tỷ VNĐ,"Đường Hàng Chuối, Phạm Đình Hổ, Hai Bà Trưng", 80m2, 3,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470732.7824028, 9, 15,,
"6,3 tỷ VNĐ",Ngô Quyền - Hà Đông, 59m2,,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470734.7282052, 5,,,
"10,5 tỷ VNĐ",Lý Thường Kiệt - Hà Đông, 50m2, 6,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470736.5083203,,,,
"7,4 tỷ VNĐ","Đường Văn Cao, Liễu Giai, Ba Đình", 50m2, 5, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470739.2338598, 4, 5, 4,
3 tỷ VNĐ,"Đường Phú Đô, Phú Đô, Nam Từ Liêm", 35m2, 5, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470741.9937093, 5, 4,,
10 tỷ VNĐ,"Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 100m2, 3, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470744.5115163, 6, 7, 5,
"8,75 tỷ VNĐ",Ngõ 135 Phố Bồ Đề, 60m2, 4, 4,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470746.9192107, 4, 4, 5,
"1,712 tỷ VNĐ","Đường Võ Nguyên Giáp, Vân Nội, Đông Anh", 77m2, 16, 2,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470749.378498, 8, 6, 2, Đông nam
"6,5 tỷ VNĐ","Đường Thịnh Quang, Ngã Tư Sở, Đống Đa", 50m2, 4, 5,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470751.7734673, 4, 3, 4,
"5,2 tỷ VNĐ","Kim Giang, Hoàng Mai, Hà Nội", 50m2,,,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470754.0484095,,,,
"6,3 tỷ VNĐ",Ngô Quyền, 53m2, 1, 1,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470758.0055761, 5,,,
"6,3 tỷ VNĐ",Ngô Quyền, 53m2, 1, 1,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470760.110487, 5,,,
"6,3 tỷ VNĐ",Ngô Quyền, 53m2, 1, 1,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470763.0184188, 5,,,
"6,3 tỷ VNĐ",Ngô Quyền, 53m2, 1, 1,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470764.8733785, 5,,,
"8,25 tỷ VNĐ","Đường Đội Nhân, Cống Vị, Ba Đình", 45m2, 3, 3,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470767.5131493, 5, 4, 2,
75 tỷ VNĐ,"Đường Phố Huế, Hàng Bài, Hoàn Kiếm", 180m2, 3, 4,03/11/2022,Tin thường,batdongsan_so_com_vn_1670470769.6083894, 7, 30, 4,
