price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"4,4 tỷ VNĐ","Đường Láng, Ngã Tư Sở, Đống Đa", 58m2, 3, 3, 3, 2,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442304.3758245,,
"5,6 tỷ VNĐ","Đường Đê La Thành, Láng Thượng, Đống Đa", 45m2, 5, 4, 4, 3,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442306.3255544,,
"31,5 tỷ VNĐ",Đê La Thành Hà Nội, 98m2,, 3, 3, 3,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442308.4687352, 5,
"14,7 tỷ VNĐ",Phú Lương - Hà Đông, 306m2,,,,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442310.2858577,,
"3,8 tỷ VNĐ",Hà Trì- Hà Đông, 37m2,, 5,,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442313.0109072,,
"3,5 tỷ VNĐ","Đường Bạch Mai, Bạch Mai, Hai Bà Trưng", 40m2, 1, 5, 4, 4,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442315.5354526, 10,
"11,2 tỷ VNĐ","Đường Láng Hạ, Láng Hạ, Đống Đa", 54m2, 3, 6, 3, 6,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442317.9393663, 5,
"9,7 tỷ VNĐ","Phố Đội Nhân, Ba Đình, Hà Nội", 40m2,, 4,,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442320.150546,, Đông bắc
"6,8 tỷ VNĐ","Khương Đình, Thanh Xuân, Hà Nội", 45m2, 3, 4, 4, 4,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442322.4602098, 4, Đông
"4,25 tỷ VNĐ","Văn quán, Hà đông", 35m2, 6, 5, 4, 3,15/12/2020,Tin thường,batdongsan_so_com_vn_1670442324.977028, 3, Đông nam
"4,7 tỷ VNĐ","180 quang trung, hà đông", 52m2, 7, 4, 4, 3,29/12/2020,Tin thường,batdongsan_so_com_vn_1670442326.637516, 3, Tây nam
"2,8 tỷ VNĐ",Vạn phúc hà đông, 40m2, 8, 4, 4, 3,11/05/2021,Tin thường,batdongsan_so_com_vn_1670442328.9277883, 3, Tây nam
"4,5 tỷ VNĐ","trần phú, hà đông", 45m2, 3, 3, 3, 3,02/05/2022,Tin thường,batdongsan_so_com_vn_1670442331.473501, 3, Đông nam
"4,5 tỷ VNĐ",trần phú hà đông, 45m2, 3, 3, 3, 3,03/05/2022,Tin thường,batdongsan_so_com_vn_1670442333.9804478, 3, Đông nam
"12,5 tỷ VNĐ",Láng Hạ Đống Đa Hà Nội, 50m2,, 6, 3, 3,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442335.685281, 4,
"3,2 tỷ VNĐ","Đường Xa La, Phúc La, Hà Đông", 35m2, 3, 4, 3, 4,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442337.944129, 4,
"3,75 tỷ VNĐ","Đường Chu Huy Mân, Phường Phúc Đồng, Quận Long Biên, Hà Nội", 40m2,, 4, 4,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442340.7155836,,
3 tỷ VNĐ,"Đường Bạch Mai, Cầu Dền, Hai Bà Trưng", 30m2, 3, 2, 2, 2,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442343.3196468, 4,
2 tỷ VNĐ,"Đường Đức Giang, Đức Giang, Long Biên", 33m2,,,,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442345.8039327, 4,
"5,5 tỷ VNĐ","Trương Định, Hoàng Mai, Hà Nội", 3.5m2,,,,,29/11/2022,Tin thường,batdongsan_so_com_vn_1670442347.9450414,,
