price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
32 tỷ VNĐ,"Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội", 106m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506221.5141299,,,,,
"1,95 tỷ VNĐ",Ngọc Thụy, 60m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506222.5244753,,,,,
"2,65 tỷ VNĐ",Ngọc Lâm, 31m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506223.350395,,,,,
"2,99 tỷ VNĐ",Đường Bà Triệu phường Nguyễn Trãi, 34m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506224.2788727, 4, 3, 3, 3, 3
"3,1 tỷ VNĐ",Đường Tân Triều phường Tân Triều, 34m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506225.7383478, 4, 2, 4, 2, 3
3 tỷ VNĐ,Đường Mậu Lương phường Kiến Hưng, 32m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506227.505581, 4, 2, 4, 2, 3
"12,8 tỷ VNĐ",trần hoànquốc, 51m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506228.933413, 4, 4,,,
"9,2 tỷ VNĐ",Đường Kim Giang phường Đại Kim, 80m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506230.502768, 6, 7, 5, 6, 5
"2,25 tỷ VNĐ",Quận Nam Từ Liêm, 70m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506231.682639,,,,,
"8,3 tỷ VNĐ",mỗ lao, 45m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506233.3096585, 4,, 5, 6, 4
"8,3 tỷ VNĐ",Hàm Nghi, 42m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506234.6126826, 4,, 5, 5,
"1,95 tỷ VNĐ",Đức Thượng, 60m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506235.5412564, 4,, 1, 1,
"2,6 tỷ VNĐ",Phố Vọng - Hà Nội, 45m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506236.4518583,,,,,
"2,6 tỷ VNĐ",Phố Vọng - Hà Nội, 45m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506237.8481252,,,,,
"7,8 tỷ VNĐ",Tây Sơn, 50m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506239.110748,,,,,
1 tỷ VNĐ,Thái Thinh., 35m2,28/06/2022,Tin thường,batdongsan_so_com_vn_1670506240.1020968,,,,,
"5,65 tỷ VNĐ","Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội", 38m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506241.1449957,,, 5, 3,
"7,7 tỷ VNĐ","thái hà, đống đa", 45m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506242.2261555,,,,,
"11,5 tỷ VNĐ","KĐT văn phú, phú la, hà đông", 90m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506243.5205753, 4,, 4, 6, 7
"5,5 tỷ VNĐ",Bùi Xương Trạch, 40m2,23/07/2022,Tin thường,batdongsan_so_com_vn_1670506244.5268848, 3,, 5,,
