price,address,Diện tích,Lộ giới,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet
4 tỷ VNĐ,Đường Tôn Đức Thắng phường Hàng Bột, 45m2, 1,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475183.6022358,,,,
"5,25 tỷ VNĐ","💥Bán gấp căn hộ 3Pn toà Mỹ Đình Pearl 2 full nội thất; 5,25tỷ; 0945798878", 105.7m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475188.1314445,,,,
"2,25 tỷ VNĐ",0366142883, 34m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475190.0307083,,,,
"25,5 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 70m2, 6,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475191.0863497, 6, 7, 5, 8
"1,8 tỷ VNĐ",Đường Nghĩa Lộ phường Yên Nghĩa, 33m2, 1,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475192.0309, 4, 3, 3, 3
200 triệu VNĐ,Đường Nguyễn Khang phường Trung Hòa, 250m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475193.756528, 10,,,
"6,6 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Gia Thụy, 78m2, 3,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475194.7621858, 4, 3, 4, 3
"7,5 tỷ VNĐ","Thái Hà, Đống Đa, Hà Nội", 50m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475196.1950777,,,,
19 tỷ VNĐ,Đường Tố Hữu phường Vạn Phúc, 91m2, 40,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475197.5797474, 6, 6, 4,
"12,9 tỷ VNĐ",Đường Kim Mã phường Kim Mã, 70m2, 10,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475198.946951, 4, 4, 6, 4
"4,2 tỷ VNĐ","Chính chủ bán căn góc tầng 12 chung cư Sky Light Minh Khai, Hai Bà Trưng; 4,2 tỷ; 0936728587", 124m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475199.9065874,,,,
415 tỷ VNĐ,Đường Ngô Quyền phường Vạn Phúc, 35m2, 3,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475201.1400592, 3, 6, 4, 4
"15,9 tỷ VNĐ",Đường Nhân Mỹ phường Mỹ Đình 2, 118m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475202.1050298, 30,,,
"25,37 triệu VNĐ",Đường Quốc lộ 3 phường Xuân Nộn, 46m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475203.2588582, 4,,,
"25,5 tỷ VNĐ",Đường LẠC LONG QUÂN phường Xuân La, 70m2, 6,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475204.0934246, 6, 7, 5, 8
"3,6127 tỷ VNĐ",Đường Võ Nguyên Giáp phường Vĩnh Ngọc, 80m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475205.0371056, 5,,,
"3,76 tỷ VNĐ",Đường Võ Nguyên Giáp phường Nguyên Khê, 80m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475206.1773486, 4,,,
"8,4 tỷ VNĐ",Đường Tôn Đức Thắng phường Ô Chợ Dừa, 48m2, 3,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475207.519236, 5, 4, 3, 3
3 tỷ VNĐ,Đường Khương Trung phường Khương Trung, 24m2, 3,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475208.719803, 3, 4, 3, 3
"3,7 tỷ VNĐ","Cần bán gấp nhà nhà số 62 ngõ 156 Lạc Trung, P.Thanh Lương, Hai Bà Trưng, 3,7 tỷ; 0902372529", 47m2,,24/10/2022,Tin thường,batdongsan_so_com_vn_1670475209.6722386,,,,
