price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"9,6 tỷ VNĐ","Đường Láng, Láng Thượng, Đống Đa", 40m2, 10, 6, 6, 6,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472395.292996,,
11 tỷ VNĐ,"Đường Láng, Láng Thượng, Đống Đa", 44m2, 10, 5, 6, 6,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472397.7291543,,
"9,6 tỷ VNĐ","Đường Láng, Láng Thượng, Đống Đa", 40m2, 10, 6, 6, 6,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472400.501297,,
"21,5 tỷ VNĐ","Đường Kim Mã, Kim Mã, Ba Đình", 42m2, 30, 7, 4, 6,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472402.6488764, 4,
35 tỷ VNĐ,"Đường Vũ Miện, Yên Phụ, Tây Hồ", 85m2, 5, 8, 6, 8,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472405.3124235, 5,
"15,5 tỷ VNĐ","Đường Xuân Thủy, Xuân Thủy, Cầu Giấy", 90m2, 2, 7, 25, 25,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472407.646503, 7,
"9,6 tỷ VNĐ","Đường Láng, Láng Thượng, Đống Đa", 40m2, 10, 6, 6, 6,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472409.8599799,,
38 tỷ VNĐ,Trường Chinh, 28m2,, 3, 3,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472412.4711869,,
"3,4 tỷ VNĐ","Đường Chiến Thắng, La Khê, Hà Đông", 42m2, 3, 4, 4, 3,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472414.8590977, 3,
"3,9 tỷ VNĐ","Đường 19/12, Chương Dương Độ, Hoàn Kiếm", 51m2, 1,,,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472416.599965,,
"3,65 tỷ VNĐ","Đường Bắc Thăng Long, Đại Mạch, Đông Anh", 101m2,,,,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472418.1771102, 5,
"1,7 tỷ VNĐ","Đường Tỉnh Lộ 80, Phụng Châu, Chương Mỹ", 40m2, 1, 3, 3, 3,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472420.347856, 5,
2 tỷ VNĐ,Tam Khương, 40m2,, 1, 3,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472423.5300472,,
"3,25 tỷ VNĐ","Đường Lĩnh Nam, Mai Động, Hoàng Mai", 34m2, 2, 4, 4, 4,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472425.5883305, 3,
"15,8 tỷ VNĐ",Văn Cao, 58m2,,,,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472428.672641,,
47 triệu VNĐ/m2,"Số 55 Nguyễn Văn Giáp, cạnh Vinhome Gardenia Hàm Nghi", 80m2,,, 2, 2,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472433.0834997,, Tây nam
"4,5 tỷ VNĐ","Đường Trương Định, Trương Định, Hai Bà Trưng", 37m2, 2, 5, 3, 4,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472435.4870646, 5,
"2,5 tỷ VNĐ","Chính chủ bán nhanh căn hoa hậu đẹp nhất dự án 3PN, 97m2, tầng 9, tòa T4 Thăng Long Capital, 0947190588", 97m2,,,,,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472437.6823976,,
"2,75 tỷ VNĐ","Đường Hoàng Cầu, Ô Chợ Dừa, Đống Đa", 70m2, 1,, 2, 1,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472439.5767148,, Đông nam
8 tỷ VNĐ,"Đường Lai Xá, Kim Chung, Hoài Đức", 60m2, 5, 5, 5, 5,31/10/2022,Tin thường,batdongsan_so_com_vn_1670472442.8976266, 5,
