price,address,Diện tích,Mặt tiền,Lộ giới,Ngày đăng,Loại tin,id,Số tầng,Số phòng ngủ,Số toilet
"3,25 tỷ VNĐ",Đường Hà Cầu phường Hà Cầu, 55m2, 10, 1,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496860.5181186,,,
"5,5 tỷ VNĐ","5Bán nhà Hoàng Mai, Phố Hoàng Mai, 57m, 5 tầng, mt 4,2, 5,5 tỷ.", 57m2,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496861.6107311,,,
"2,4 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 40m2, 5,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496862.7617438,,,
"3,25 tỷ VNĐ",Đường Hà Cầu phường Hà Cầu, 55m2, 5, 1,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496863.792932,,,
"6,95 tỷ VNĐ",Đường Văn Cao phường Liễu Giai, 46m2, 3, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496864.9583607, 5, 4, 4
"2,599 tỷ VNĐ",Đường Việt Hùng phường Việt Hùng, 63m2, 4,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496866.0894506,,,
"4,2 tỷ VNĐ",Đường 69 phường Trung Văn, 105m2, 5, 1,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496867.152348,, 3, 2
"4,45 tỷ VNĐ",Đường 23B phường Vân Nội, 52m2, 4,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496868.0897017,,,
16 tỷ VNĐ,Lê Thanh Nghị - Hai Bà Trưng - Hà Nội, 80m2, 4,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496869.076357, 7,,
"2,7 tỷ VNĐ",Đường Đội cấn phường Cống Vị, 25m2, 3, 6,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496870.1832464, 3, 3, 2
"4,54 tỷ VNĐ",Đường An Trai phường Vân Canh, 56m2, 4,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496871.3534312,,,
866 triệu VNĐ,hoàn kiếm hà nội, 80m2, 5, 6,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496872.3507543,,,
5 tỷ VNĐ,Đường Tân Mai phường Tân Mai, 100m2, 8, 2,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496873.5315406, 5, 6, 8
"4,6 tỷ VNĐ",Lê Lợi - Nguyễn Trãi - Hà Đông, 48m2,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496874.5872357, 3, 3, 2
"6,9 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 50m2, 4, 3,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496875.4801872, 5, 4,
"4,3 tỷ VNĐ",đường láng, 36m2, 3, 2,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496880.8685727, 4, 4, 4
4 tỷ VNĐ,Đường 19 tháng 5 phường Mộ Lao, 40m2, 4, 1,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496881.9187448,,,
"2,75 tỷ VNĐ",NGÕ 134 CẦU DIẼN, 40m2,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496882.9511795,,,
16 tỷ VNĐ,"Nguyễn Xiển, Thanh Xuân, Hà Nội", 60m2, 4, 30,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496883.8842793, 3, 4, 3
"3,85 tỷ VNĐ",Mậu Lương - Kiến Hưng - Hà Đông, 35m2,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496884.943834, 5, 4, 3
