price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet
"4,8 tỷ VNĐ",đường Trần Quốc Vượng, 54m2, 4, 3, 4, 5,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491699.8613925,
"3,45 tỷ VNĐ",Đường Hà Trì phường Hà Cầu, 41m2,, 2, 5, 4,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491701.3659084, 3
32 tỷ VNĐ,Vĩnh Phúc Ba Đình Hà Nội, 196m2, 12,,,,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491702.5062218,
"9,48 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 52m2, 4, 3, 6, 4,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491705.5076578, 5
80 tỷ VNĐ,Đường Hàng Mã phường Hàng Mã, 100m2, 3, 10, 5, 5,29/09/2022,Tin thường,batdongsan_so_com_vn_1670491708.4744933, 5
4 tỷ VNĐ,Đường Đường Ngọc Thuy phường Ngọc Thụy, 50m2, 3, 5, 5, 6,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491710.4859164, 5
25 tỷ VNĐ,Đường Hai Bà Trưng phường Phan Chu Trinh, 35m2, 3, 15, 7, 7,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491713.1303704, 7
19 tỷ VNĐ,Đường Đội Nhân phường Vĩnh Phúc, 87m2, 5, 3, 3, 5,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491715.6475255, 3
7 tỷ VNĐ,Đường Hoàng Như Tiếp phường Bồ Đề, 55m2, 4, 5, 5, 5,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491717.568442, 4
"3,1 tỷ VNĐ",Trần Đại Nghĩa - Hà Nội, 60m2,,,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491719.7294593,
"11,9 tỷ VNĐ",Đường Nguyễn Phong Sắc phường Nghĩa Tân, 40m2, 6, 6, 4, 4,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491721.5638413, 4
38 tỷ VNĐ,Đường Hàng Tre phường Lý Thái Tổ, 77m2, 9, 10, 3, 3,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491722.6946118, 3
75 tỷ VNĐ,Đường Hàng Gà phường Hàng Bồ, 152m2, 4, 10, 2, 2,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491726.6266277, 2
21 tỷ VNĐ,Đường Đội cấn phường Đội Cấn, 60m2, 3, 10, 6, 6,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491727.8170922, 6
38 tỷ VNĐ,Quận Cầu Giấy, 90m2,,,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491729.2324736,
24 tỷ VNĐ,Đường Hàng Bông phường Hàng Bông, 29m2, 5, 10, 3, 3,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491730.6930413, 3
"3,1 tỷ VNĐ",Đường Trần Đại Nghĩa phường Bách Khoa, 60m2, 5, 2, 3, 7,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491732.1936903, 3
14 tỷ VNĐ,Đường Nguyễn Lân phường Thanh Xuân Trung, 78m2, 5, 1,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491733.4718218,
"4,2 tỷ VNĐ",hoàng mai hà nội., 34m2,,, 4, 4,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491734.6175747, 3
"6,4 tỷ VNĐ","CẦU ĐƠ 3, HÀ ĐÔNG", 43m2, 4,, 4, 4,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491736.1250973, 3
