price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"2,96 tỷ VNĐ","Đường Tam Trinh, Lĩnh Nam, Hoàng Mai", 30m2, 2, 5,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467984.9397516,,,,
23 tỷ VNĐ,"Đường Đội cấn, Đội Cấn, Ba Đình", 60m2, 30, 6,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467986.9489243, 5, 3, 6,
"41,4 tỷ VNĐ",Tô Ngọc Vân Tây Hồ, 200m2,,,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467988.9401035, 12,,,
"7,1 tỷ VNĐ",Tôn Thất Tùng Đống Đa Hà Nội, 50m2,, 5,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467990.8253872,, 4,,
"1,7 tỷ VNĐ",Phố Tân Mai quận Hoàng Mai Hà Nội, 25m2,,,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467993.229589,,,,
"13,5 tỷ VNĐ","Đường Văn Cao, Đội Cấn, Ba Đình", 103m2, 10, 2,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467995.5737116, 9, 3, 3, Đông
29 tỷ VNĐ,Thái Hà Đống Đa Hà Nội, 103m2,, 5,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467997.9853623,, 6,,
"6,9 tỷ VNĐ","Đường Lâm Du, Bồ Đề, Long Biên", 58m2, 2, 4,09/11/2022,Tin thường,batdongsan_so_com_vn_1670467999.9584978, 6, 4, 4,
"7,8 tỷ VNĐ","Đường Cổ Nhuế, Cổ Nhuế 1, Bắc Từ Liêm", 58m2, 1, 7,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468002.7299128, 4, 7, 6,
130 triệu VNĐ,"Đường Nguyễn Lương Bằng, Ô Chợ Dừa, Đống Đa", 38m2, 3, 1,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468004.405377, 4, 1, 1,
"2,75 tỷ VNĐ","Đường Ô Chợ Dừa, Ô Chợ Dừa, Đống Đa", 25m2, 2, 5,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468006.737179, 4, 4, 3,
"3,1 tỷ VNĐ","Đường Trần Văn Lai, Mỹ Đình 1, Nam Từ Liêm", 85m2, 50, 30,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468008.8866887, 9, 2, 2,
4 tỷ VNĐ,"Đường Phạm Văn Đồng, Đông Ngạc, Bắc Từ Liêm", 83m2, 50, 30,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468011.2450585, 8, 2, 2,
5 tỷ VNĐ,"Đường Phạm Văn Đồng, Đông Ngạc, Bắc Từ Liêm", 98m2, 50, 30,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468014.0227408, 10, 3, 2,
"3,3 tỷ VNĐ","Cầu Diễn, Minh Khai, Bắc Từ Liêm", 71m2,,,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468016.8109922,,,,
"5,8 tỷ VNĐ","Đường Ngọc Thụy, phường Ngọc thụy , Quận Long Biên, Hà Nội", 42m2,, 5,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468019.2859876, 3, 4,,
"3,65 tỷ VNĐ","Đường Phương Liệt, Phương Liệt, Thanh Xuân", 40m2, 3, 4,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468021.5356038, 4, 5,,
4 tỷ VNĐ,"Đường Định Công Thượng, Định Công, Hoàng Mai", 30m2, 2, 5,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468023.290287, 4, 3, 4, Nam
"37,9 tỷ VNĐ",Hoàng Cầu Đống Đa Hà Nội, 93m2,,,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468025.31064, 9,,,
"5,5 tỷ VNĐ","Đường Nguyễn Khang, Quan Hoa, Cầu Giấy", 35m2, 3, 6,09/11/2022,Tin thường,batdongsan_so_com_vn_1670468027.6133235, 4, 5,,
