price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới
"5,8 tỷ VNĐ","Yên Hoà, Cầu Giấy, Hà Nội", 38m2, 4, 4, 3,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498760.2273066,,
"10,5 tỷ VNĐ","Trần Thái Tông, Cầu Giấy, Hà Nội", 50m2, 7, 5, 5,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498761.60909,,
"4,3 tỷ VNĐ","lô góc 2 mặt ngõ Đường Láng, Đống Đa", 40m2, 4, 4,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498763.9002283, 3,
"8,5 tỷ VNĐ",tây sơn, 50m2,,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498764.9727855,,
"6,9 tỷ VNĐ",mỗ lao, 46m2, 5, 6, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498766.2623384, 4,
11 tỷ VNĐ,Lê Hồng Phong- Hà Đông, 60m2, 5,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498767.4124048,,
20 tỷ VNĐ,KĐT Văn Phú, 90m2, 5, 6, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498768.3927815, 5, 25
"9,5 tỷ VNĐ",yên lãng, 55m2,,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498769.4452982,,
"6,2 tỷ VNĐ",Kim Giang, 43m2, 5,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498770.4855607,,
45 tỷ VNĐ,Yên Hoa Tây Hồ Hà Nội, 83m2, 6, 8, 8,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498771.7700813,,
"5,8 tỷ VNĐ",Đường Trung Kính phường Yên Hòa, 40m2, 4, 3, 3,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498773.5024486, 7, 3
"4,2 tỷ VNĐ","Phố Trần Bình, Mai Dịch, Cầu Giấy, Hà Nội", 35m2, 5, 4, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498775.8103182,,
5 tỷ VNĐ,Nhuệ Giang, 35m2, 5, 3,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498780.0022056, 5, 3
"8,5 tỷ VNĐ","Hoa Bằng, Yên Hoà, Cầu Giấy, Hà Nội", 45m2, 5, 4, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498781.8163562,,
"2,5 tỷ VNĐ","đường Phú Diễn, quận Bắc Từ Liêm", 32m2, 4, 3,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498783.9376824, 4, 3
"3,029 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 51m2, 21, 1, 1,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498795.2861886,, 1
"3,9 tỷ VNĐ",Đường  phường Cát Linh, 30m2, 5, 3, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498797.2010696, 3, 5
"3,8 tỷ VNĐ","Tứ hiệp, Thanh Trì HN", 56m2,,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498798.642252,,
"1,55 tỷ VNĐ",Đường Lê Trọng Tấn phường An Khánh, 66m2,, 2, 2,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498800.5087175,, 25
