price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"5,1 tỷ VNĐ",Tạ Quang Bửu - Hai Bà Trưng - Hà Nội, 72m2, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475912.540026,,,,
"6,35 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 71m2, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475913.4532793, 3, 4, 4, 4
"10,7 tỷ VNĐ",Đường Hoàng Sâm phường Nghĩa Tân, 39m2, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475914.8569167, 8, 5, 3, 5
"4,85 tỷ VNĐ",Đường Lò Đúc phường Đống Mác, 35m2, 6,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475916.1401687, 4, 4, 3, 4
"2,75 tỷ VNĐ",Đường Ngô Sĩ Liên phường Quốc Tử Giám, 25m2, 3,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475917.3681617, 3, 4, 3, 3
"7,3 tỷ VNĐ",Đường 19/12 phường Chương Dương Độ, 42m2,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475921.7185376, 5, 5,,
53 tỷ VNĐ,Đường Lê Trọng Tấn phường Khương Mai, 200m2, 8,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475922.8001301, 30, 3, 4, 4
"7,6 tỷ VNĐ","Quang Trung, Hà Đông.", 51m2, 5,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475923.72499,, 4, 4, 5
"9,6 tỷ VNĐ",Đường Láng Thượng phường Láng Thượng, 40m2, 6,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475925.0078642, 10, 6, 6,
"4,5 tỷ VNĐ",Đường Dương Quảng Hàm phường Dịch Vọng, 50m2, 5,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475925.903678, 3, 5, 4, 4
4 ngàn VNĐ,Đường Quang Trung phường Quang Trung, 52m2,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475926.7581456, 1, 4, 4, 4
"3,7 tỷ VNĐ","Chính chủ bán CHCC cao cấp tầng 16 chung cư HUD3 số 60 Nguyễn Đức Cảnh, Hoàng Mai, 3,7 tỷ; 0912239023", 95m2,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475927.8551052,,,,
"4,5 tỷ VNĐ","Ngọc Hồi, Thanh Trì HN", 79m2,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475928.8180103,,,,
"4,85 tỷ VNĐ",Đường Bùi Ngọc Dương phường Bạch Mai, 43m2, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475929.819974, 1, 5, 3,
"3,85 tỷ VNĐ",x28/68 Đức Giang, 40m2, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475931.028123,, 4, 4, 3
"3,95 tỷ VNĐ",2x/16/8 Ngọc Lâm, 40m2, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475931.9086268,, 3, 4, 3
"2,3 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 82m2,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475933.1715019, 1, 15, 2, 2
82 tỷ VNĐ,Đường Anh Đào phường Sài Đồng, 310m2, 26,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475934.2387345, 30, 3, 4, 3
,Bạch Hạ- Phú Xuyên, 77m2, 4,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475935.117338, 4,,,
"8,8 tỷ VNĐ",Hoa Bằng, 91m2,,20/10/2022,Tin thường,batdongsan_so_com_vn_1670475936.1964464,,,,
