price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"2,6 tỷ VNĐ",Bách Khoa - Hà Nội, 45m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509220.6831534,,,,,
"30,5 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 225m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509224.273281, 7, 1,,,
"9,8 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Đô, 70m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509228.7164085, 5, 4, 7, 16, 16
"2,09 tỷ VNĐ","Thôn Thượng, Cự Khê, Thanh Oai, HN", 35m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509230.5663204, 6, 2, 3, 3, 2
"4,2 tỷ VNĐ",Đường Đức Giang phường Đức Giang, 31m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509231.9230428, 3, 4, 5, 3, 4
"8,5 tỷ VNĐ",Vương Thừa Vũ, 36m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509233.4129386, 5, 4, 7, 4,
"3,1 tỷ VNĐ",Minh Khai - Hà Nội, 50m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509235.123797,,,,,
999 triệu VNĐ,"Nhân Hòa, Nhân Chính", 48m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509236.4656553,,, 6, 2, 1
"3,2 tỷ VNĐ",Đường Phan Đình Giót phường Quang Trung, 35m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509237.587761, 5, 7, 6, 5, 4
"4,5 tỷ VNĐ",Khương Trung, 42m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509238.9121904,,, 5, 5,
1 tỷ VNĐ,Đường Thái Thịnh phường Trung Liệt, 35m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509240.1933236,, 2, 2, 2, 2
8 tỷ VNĐ,khương trung, 60m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509241.4746356, 4,, 4, 4, 3
22 tỷ VNĐ,"Mặt phố HBT đẹp, vỉa hè rộng 40 nhà 5 tầng giá 22 tỷ", 40m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509242.617934,,,,,
5 tỷ VNĐ,Thượng Đình, 42m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509244.0311306, 4,, 5, 6,
"6,5 tỷ VNĐ",Tô Vĩnh Diện, 80m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509245.5134335, 5, 2, 4, 4,
7 tỷ VNĐ,xuân thuỷ, 61m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509246.8114529, 6, 3, 6,,
"4,5 tỷ VNĐ",Đường Hồ Tùng Mậu phường Mai Dịch, 40m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509248.4660842, 4, 2, 5, 4, 4
"4,2 tỷ VNĐ","Bình Minh , Trâu Quỳ , Gia Lâm , Hà Nội", 100m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509249.6568966, 9, 2,,,
"3,299 triệu VNĐ",Đường Xa La phường Kiến Hưng, 40m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509250.7997282,, 1, 4, 3, 3
"2,55 tỷ VNĐ","Đường Tây Tựu, phường Tây Tựu, Bắc Từ Liêm", 36m2,07/07/2022,Tin thường,batdongsan_so_com_vn_1670509252.243429, 6, 3, 4, 3, 2
