price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"6,45 tỷ VNĐ",Xuân Thủy Cầu Giấy Hà Nội, 42m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495143.2050343,,,,,
3 tỷ VNĐ,Đường Đỗ Đức Dục phường Phương Canh, 30m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495144.453536, 4, 3, 5, 4,
"3,6 tỷ VNĐ",Đường Lương Khánh Thiện phường Hoàng Văn Thụ, 36m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495145.5176833, 3, 3, 5, 4, 4
"2,95 tỷ VNĐ","Kiến Hưng, Hà Đông, Hà Nội", 35m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495146.4279034, 3, 5,,,
"4,5 tỷ VNĐ",Hà Trì - Hà Đông, 38m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495147.5241098,,, 4,,
"4,5 tỷ VNĐ",Đa Sỹ- Hà Đông, 39m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495148.5026462,,, 4,,
"11,5 tỷ VNĐ",Lý Thường Kiệt- Hà Đông, 60m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495149.5648687,,, 5,,
"11,5 tỷ VNĐ",Tô Hiệu- Hà Đông, 60m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495153.5317655,,, 5,,
"10,5 tỷ VNĐ",Cầu giấy, 68m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495154.8864076,,,,,
"19,65 tỷ VNĐ",DỊCH VỌNG HẬU, 135m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495155.6761365,,,,,
"18,9 tỷ VNĐ",Nguyễn văn Cừ, 63m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495156.504429, 3, 10, 3, 3, 3
"5,8 tỷ VNĐ","Phố Lạc Trung, Phường Thanh Lương", 38m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495157.741751, 4, 2, 5, 4, 4
"3,2 tỷ VNĐ",nguyễn tuân thanh xuân hà nôi., 35m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495158.5977833, 3,, 5, 3, 3
"5,9 tỷ VNĐ","Kiến Hưng, Hà Đông, Hà Nội.", 70m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495159.5902731, 7, 6,,,
"5,8 tỷ VNĐ","Phố lạc Trung, Phường Thanh Lương", 38m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495160.8140528, 4, 2, 5, 4, 4
76 tỷ VNĐ,Dịch Vọng Cầu Giấy, 254m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495161.8155165, 14,, 5, 5, 5
39 tỷ VNĐ,Đường Lý Nam Đế phường Cửa Nam, 81m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495162.7512548, 6, 15, 2, 3, 3
68 ngàn VNĐ,Đường Quang Tiến phường Tây Mỗ, 41m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495164.0487838, 5, 30, 1, 1,
8 tỷ VNĐ,Hoài Đức, 150m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495165.0929139,,,,,
"52,5 tỷ VNĐ",Khu đô thị Thành phố giao lưu - Đường Phạm Văn Đồng, 200m2,16/09/2022,Tin thường,batdongsan_so_com_vn_1670495166.1017888, 9,, 4, 5, 5
