price,address,Diện tích,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id
500 tỷ VNĐ,"Đường hàng gai, hàng gai, Hoàn Kiếm", 500m2, Tây bắc, 20, 15, 7, 30, 35,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440987.9604812
"5,9 tỷ VNĐ","phố Hồng Mai, Hai Bà Trưng Hà Nội", 24m2,,,,,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440990.48239
9 triệu VNĐ/m2,Trầm Lộng, 80m2,,,,,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440992.9165359
11 tỷ VNĐ,"Đường Vạn Bảo , Liễu Giai, Ba Đình", 50m2,, 4, 10, 4, 4,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440995.940704
"3,1 tỷ VNĐ","Đường Hoàng Liệt, Hoàng Liệt, Hoàng Mai", 32m2,,, 2, 4,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440997.4870515
,"Đường Đại Kim, Hoàng Liệt, Hoàng Mai",,,, 2, 4,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670440999.864126
25 tỷ VNĐ,"Đường Vạn Bảo , Liễu Giai, Ba Đình", 68m2,, 6, 10, 6, 4,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441001.914845
"3,65 tỷ VNĐ","Đường Triều Khúc, Tân Triều, Thanh Trì", 31m2,, 3, 2, 5, 3, 4,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441004.1283474
"12,4 tỷ VNĐ","Đường Yên Xá, Tân Triều, Thanh Trì", 60m2,, 5, 8, 4, 4, 4,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441006.2870283
"10,5 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 50m2, Tây nam, 8, 3, 7, 6, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441009.1135476
"10,5 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 50m2, Tây nam, 8, 3, 7, 6, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441012.3012753
"10,5 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 50m2, Tây nam, 8, 3, 7, 6, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441014.5775373
"10,5 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 50m2, Tây nam, 8, 3, 7, 6, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441016.9892657
"10,5 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 50m2, Tây nam, 8, 3, 7, 6, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441018.6728785
"10,5 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 50m2, Tây nam, 8, 3, 7, 6, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441020.680278
"3,1 tỷ VNĐ",Ngọc Hồi, 41m2,,,,,,,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441022.7821627
"10,5 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 50m2, Tây nam, 8, 3, 7, 6, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441024.8960712
"10,5 tỷ VNĐ","Đường Cầu Giấy, Yên Hòa, Cầu Giấy", 50m2, Tây nam, 8, 3, 7, 6, 5,04/12/2022,Tin thường,batdongsan_so_com_vn_1670441027.3907611
42 tỷ VNĐ,Tây Nam Linh Đàm Hoàng Mai Hà Nội, 200m2,, 10,, 4, 4, 4,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441029.54841
2 tỷ VNĐ,"Đường Bát Khối, Long Biên, Long Biên", 31m2,, 4, 2, 3, 2, 3,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441031.9749484
