price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền
"1,25 tỷ VNĐ",Đường Đại Lộ Thăng Long phường Tây Mỗ, 30m2, 25, 20, 1, 1,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482395.568247,
"11,8 tỷ VNĐ",Đường Khương Đình phường Khương Đình, 75m2, 1, 7, 14, 7,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482398.3827586, 3
6 tỷ VNĐ,Đường Ngọc Thụy phường Ngọc Thụy, 40m2, 6, 5, 4, 5,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482401.9682145, 4
"5,4 tỷ VNĐ",Đường Ngõ Quỳnh phường Thanh Nhàn, 40m2, 3, 5, 4, 4,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482404.4632428, 4
26 tỷ VNĐ,"Đường Trần Hưng Đạo, Phường Trần Hưng Đạo.", 95m2, 8, 9, 10, 10,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482406.5773892, 8
26 tỷ VNĐ,"Đường Trần Hưng Đạo, Phường Trần Hưng Đạo", 95m2, 12, 9, 10, 10,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482408.9985876, 8
27 tỷ VNĐ,Đường Nguyễn Hữu Thọ phường Hoàng Liệt, 232m2, 10, 4, 15, 15,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482411.4119713, 12
36 tỷ VNĐ,Tây Sơn Đống Đa Hà Nội, 98m2,, 2,,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482414.1544063,
"13,3 tỷ VNĐ","Đường Trương Định, Phường Tương Mai", 55m2, 12, 5, 4, 4,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482416.7289674, 4
"29,8 tỷ VNĐ",Trung Kính Cầu Giấy, 85m2,, 7, 7, 7,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482419.5394506, 5
6 tỷ VNĐ,Đường Nguyễn Cao phường Hàng Chuối, 32m2, 3, 5, 3, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482422.0621192, 5
6 tỷ VNĐ,Đường Tăng Bật Hổ phường Hàng Chuối, 20m2, 3, 5, 3, 3,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482424.8718727, 5
"8,8 tỷ VNĐ",Đường Lạc Trung phường Thanh Nhàn, 40m2, 9, 5, 4, 4,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482427.6490827, 6
"9,8 tỷ VNĐ",Đường Thanh Nhàn phường Thanh Nhàn, 47m2, 10, 5, 4, 4,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482430.5719151, 4
"12,5 tỷ VNĐ",Đường Hoàng Cầu phường Ô Chợ Dừa, 65m2, 20, 5, 5, 6,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482433.3881984, 5
"16,8 tỷ VNĐ",Đường Hoàng Văn Thái phường Khương Mai, 72m2, 1, 5, 4,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482436.5214963, 6
"7,6 tỷ VNĐ",Quan Hoa Cầu Giấy Hà Nội, 70m2,, 4,,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482438.9455733, 4
"4,75 tỷ VNĐ","Khương Trung, Thanh Xuân, Hà Nội", 45m2, 3, 5, 6, 6,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482441.8260007, 4
10 tỷ VNĐ,Đường Mai Dịch phường Mai Dịch, 64m2, 1,,,,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482446.873964, 4
"4,45 tỷ VNĐ",Đường Cổ Nhuế phường Cổ Nhuế 2, 56m2, 3, 4, 5, 5,05/10/2022,Tin thường,batdongsan_so_com_vn_1670482450.2179458, 3
