price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
,Đường  phường Vân Canh, 55m2, 4, 5,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476522.913506,,,
"6,2 tỷ VNĐ",đường Mỹ Đình, 70m2, 2, 6,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476524.014632, 7,,
"4,5 tỷ VNĐ",Đường Cổ Linh phường Long Biên, 96m2,,,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476524.7970724, 5,,
"3,7 tỷ VNĐ","Cổ Điển B, Thanh Trì HN", 34m2,,,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476525.863948,,,
"3,7 tỷ VNĐ",Đường Đình Thôn phường Phú Đô, 36m2, 3, 6,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476526.6869662, 3, 4, 4
"4,05 tỷ VNĐ","Cổ Điển A, Thanh Trì HN", 42m2,,,18/10/2022,Tin thường,batdongsan_so_com_vn_1670476527.512861,,,
"4,5 tỷ VNĐ",Đường Cổ Linh phường Long Biên, 96m2,,,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476528.6864061, 5,,
"29,5 tỷ VNĐ",Thanh Nhàn Hai Bà Trưng Hà Nội, 89m2,,,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476529.5432608,,,
45 tỷ VNĐ,Bạch Mai Hai Bà Trưng Hà Nội, 122m2,, 1,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476530.5968437, 4,,
10 tỷ VNĐ,Đường Trần Khát Chân phường Thanh Lương, 46m2, 7, 6,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476532.0019317, 3, 3, 5
"4,85 tỷ VNĐ",Đường Nguyễn Sơn phường Long Biên, 57m2, 3, 4,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476532.9050322, 4, 5, 4
"3,2 tỷ VNĐ",Lò Đúc - Hà Nội, 42m2,,,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476534.066807,,,
23 tỷ VNĐ,Đường Doãn Kế Thiện phường Mai Dịch, 80m2, 4, 6,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476535.17233, 7, 8, 6
"4,34 tỷ VNĐ",Nguyễn Thái Học- Hà Đông, 48m2,, 4,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476536.2089558,,,
"12,2 tỷ VNĐ",Tô Hiệu- Hà Đông, 58m2,, 5,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476537.2946885,,,
"12,2 tỷ VNĐ",Bà Triệu- Hà Đông, 58m2,, 5,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476538.314823,,,
4 tỷ VNĐ,Đường Xuân Đỉnh phường Xuân Đỉnh, 32m2, 2, 5,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476539.5560992, 4, 3,
12 tỷ VNĐ,x26/28 Bát Khối, 400m2,, 1,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476540.584527, 12, 1, 1
"2,86 tỷ VNĐ",Đường Thạch Bàn phường Thạch Bàn, 39m2, 3, 3,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476541.493974, 4, 3, 3
,"Chính chủ bán suất ngoại giao căn hộ VIP dự án Housinco Premium 300 Nguyễn Xiển, 0979018365", 177m2,,,17/10/2022,Tin thường,batdongsan_so_com_vn_1670476542.4867084,,,
