price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
35 tỷ VNĐ,quan thanh xuan, 115m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670493023.6261559,,,,,,
36 tỷ VNĐ,quan cau giay, 100m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670493025.226845,,,,,,
250 tỷ VNĐ,quan cau giay, 548m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670493026.2910008,,,,,,
34 tỷ VNĐ,quan nam tu liem, 127m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670493027.4957736,,,,,,
46 tỷ VNĐ,quan thanh xuan, 100m2,26/05/2021,Tin thường,batdongsan_so_com_vn_1670493028.6331754,,,,,,
95 tỷ VNĐ,QUẬN CẦU GIẤY, 265m2,30/05/2022,Tin thường,batdongsan_so_com_vn_1670493031.4236639,,,,,,
"14,6 tỷ VNĐ","Siêu Phẩm, Khương Hạ- Thanh Xuân, Căn Góc, Vị Trí Víp, KD Đỉnh, DT 69m2 x4T, Chỉ 14,6 Tỷ", 69m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493032.9141557, 16, 14, 4, 3, 3,
7 tỷ VNĐ,mỗ lao, 45m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493034.4749737, 3,, 5, 6, 4,
11 tỷ VNĐ,CẦU GIẤY, 55m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493036.3958383,,,,,,
"14,6 tỷ VNĐ","Khương Hạ, Thanh Xuân", 69m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493039.9841082, 16, 14, 4, 3, 3,
"3,7 tỷ VNĐ",Đường Trịnh Văn Bô phường Xuân Phương, 110m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493042.0227416, 10, 1, 17, 4, 3,
11 tỷ VNĐ,Cầu giấy, 55m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493043.2973325,,,,,,
"4,2 tỷ VNĐ",Đường Hồ Tùng Mậu phường Phú Diễn, 47m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493045.093088, 4, 2, 5, 4, 3,
"20,5 tỷ VNĐ",Mặt phố trung tâm Hai Bà Trưng 88m mặt tiền đẹp, 88m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493046.2290506,,,,,,
"8,5 tỷ VNĐ",Nguyễn sơn, 68m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493047.947455, 5,, 5, 6, 4,
"3,5 tỷ VNĐ",Đường Quang Trung phường Quang Trung, 32m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493049.5210333, 4, 7, 5, 4, 4,
"1,3 tỷ VNĐ","135 Trần Phú, Văn Quán", 98m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493051.4170215, 10, 10, 1, 2, 2, Đông nam
"7,9 tỷ VNĐ",quang trung, 40m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493052.909029, 4,, 5, 6, 4,
"4,1 tỷ VNĐ",Đường Cầu Giấy phường Quan Hoa, 45m2,26/09/2022,Tin thường,batdongsan_so_com_vn_1670493068.5008178, 4, 2, 5, 4, 3,
