price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Lộ giới
"3,2 tỷ VNĐ","Bán nhà phố Hoàng Hoa Thám, Ba Đình. DT 33 mét 3 tỷ 2", 33m2, 4, 5, 5, 5,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508033.135041,
"3,65 tỷ VNĐ","thành công ,ba đình", 100m2,,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508034.9781113,
"2,25 tỷ VNĐ",Đường Ngọc Thụy phường Ngọc Thụy, 40m2, 5,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508036.861825,
"23,5 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 350m2, 19,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508038.444038,
"14,68 tỷ VNĐ",Hà Nội, 110m2,,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508040.6879072,
"5,4 tỷ VNĐ","Kim Giang, Thanh Xuân, Hà Nội", 35m2,,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508041.908057,
"7,55 tỷ VNĐ",Vũ Tông Phan, 60m2, 4, 5, 7,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508042.9131331,
"12,5 tỷ VNĐ","Văn Quán, Hà Đông, Hà Nội", 90m2, 4, 5, 4,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508044.1867294, 10
"4,45 tỷ VNĐ","Đường Kim Giang, Phường , Quận Hoàng Mai, Thành phố Hà Nội.", 42m2,, 5,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508045.4084604,
"8,1 tỷ VNĐ",la khê, 60m2, 5, 4, 4, 3,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508047.0655994,
39 tỷ VNĐ,Bán nhà SĐCC phố Nguyễn Chí Thanh 88m giá hữu nghị, 100m2,,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508047.9569342,
"3,25 tỷ VNĐ","Trâu Quỳ , Gia Lâm , Hà Nội", 37m2, 4,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508049.1433625, 4
"8,5 tỷ VNĐ",Ngọc Hà, 80m2,,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508050.2693522, 4
4 tỷ VNĐ,Phùng Hưng- Hà Đông, 37m2,, 4,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508051.8351665,
"3,95 tỷ VNĐ",Phúc La- Hà Đông, 38m2,, 4,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508053.0681038,
"3,95 tỷ VNĐ",Phúc La- Hà Đông, 38m2,, 4,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508054.9831133,
4 tỷ VNĐ,Phùng Hưng- Hà Đông, 37m2,, 4,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508056.2982907,
13 tỷ VNĐ,Phố Yên Lãng, 61m2,, 7, 4, 6,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508057.555085,
80 tỷ VNĐ,"lê trọng tấn thanh xuân, hà nội", 160m2,,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508058.539505,
14 tỷ VNĐ,Đường Trịnh Văn Bô phường Phương Canh, 147m2, 8,,,,13/07/2022,Tin thường,batdongsan_so_com_vn_1670508059.6994047,
