price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
11 tỷ VNĐ,"Đường Vạn Bảo , Liễu Giai, Ba Đình", 45m2, 4, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440319.3394525,,,,
50 tỷ VNĐ,"Đường Vương Thừa Vũ, Khương Trung, Thanh Xuân", 180m2, 1,,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440321.772639, 5,,,
"4,6 tỷ VNĐ","Chung cư Kosmo Tây Hồ, Xuân La, Hà Nội", 84m2,, 9,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440324.1057165,, 2, 2,
"11,5 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 60m2, 6, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440326.6818235, 4, 6, 4,
"11,5 tỷ VNĐ","Đường Khương Trung, Khương Trung, Thanh Xuân", 60m2, 6, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440328.2365284, 4, 6, 4,
"10,7 tỷ VNĐ","Đường Hoàng Văn Thái, Khương Trung, Thanh Xuân", 70m2, 8, 6,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440330.6713254, 4, 5, 5,
250 triệu VNĐ,"Đường Đa Tốn , Đa Tốn , Gia Lâm", 75m2, 10, 1,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440333.316036, 10, 1, 1,
"2,1 tỷ VNĐ",iec tứ hiệp, 35m2,,,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440335.8453825,,,,
"10,8 tỷ VNĐ","Bán nhà mặt ngõ số 3 ngõ 211 phố Giáp Nhất, Thanh Xuân, 10,8 tỷ; 0912187668", 60m2,,,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440338.1823776,,,,
28 tỷ VNĐ,"Đường Thái Hà, Trung Liệt, Đống Đa", 110m2, 25, 6,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440340.4911304, 4, 6, 6,
"3,3 tỷ VNĐ","Đường Quốc lộ 32, Kim Chung, Hoài Đức", 38m2, 4, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440342.7889547, 4, 4, 3,
"3,4 tỷ VNĐ",La Khê - Hà Đông, 41m2,, 4,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440344.6190307,,,,
"3,85 tỷ VNĐ",Văn Quán - Hà Đông, 39m2,, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440346.9532897,,,,
"3,85 tỷ VNĐ",Văn Quán - Hà Đông, 39m2,, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440349.1651998,,,,
"3,4 tỷ VNĐ",La Khê - Hà Đông, 41m2,, 4,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440351.6504648,,,,
18 tỷ VNĐ,"Đường Quốc lộ 5B, Trâu Quỳ, Gia Lâm", 71m2, 2, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440354.5414128, 6, 4, 3, Tây bắc
"2,5 tỷ VNĐ","Đường Ngọc Hồi, Ngọc Hồi, Thanh Trì", 35m2, 2, 3,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440356.9293911,, 3, 3,
"5,2 tỷ VNĐ","Đường Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng", 45m2, 4, 5,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440359.1201546, 5, 3, 3,
"2,5 tỷ VNĐ",Trần Khát Chân - Hà Nội, 50m2,,,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440361.196213,,,,
270 triệu VNĐ,"Đường Đông Các, Kim Liên, Đống Đa", 66m2, 50, 3,06/12/2022,Tin thường,batdongsan_so_com_vn_1670440362.8185432, 5, 3, 3,
