price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet
"3,45 tỷ VNĐ",Đường 1 phường Giang Biên, 48m2, 1, 3,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504524.0418146,,,
"4,2 tỷ VNĐ",đường Trịnh Văn Bô, 58m2,, 4,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504525.4230714, 4, 4,
"2,4 tỷ VNĐ",Đường Tôn Đức Thắng phường Hàng Bột, 60m2, 1,,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504526.94899,,,
"11,5 tỷ VNĐ",Đường Doãn Kế Thiện phường Mai Dịch, 60m2, 7, 6,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504528.0321426, 4, 6, 5
"9,79 tỷ VNĐ",Đường A phường Trâu Quỳ, 288m2,,,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504529.0723596, 115,,
8 tỷ VNĐ,"Phố Thành Công, Thành Công, Ba Đình, Hà Nội.", 71m2,,,31/07/2022,Tin thường,batdongsan_so_com_vn_1670504530.4088404,,,
"13,9 tỷ VNĐ",Đường Kim Đồng phường Giáp Bát, 47m2, 6, 6,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504531.4301, 4, 6, 5
"1,56 tỷ VNĐ",Đường  phường Lệ Chi, 40m2, 7,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504532.4424503, 5,,
"4,7 tỷ VNĐ","Hàng Bồ, Hoàn Kiếm Hà Nội", 28m2,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504533.4802265,,,
"2,6 tỷ VNĐ",xã Ngọc Hồi, 41m2,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504534.5962334,,,
"3,9 tỷ VNĐ",Đường 1 phường Đức Giang, 47m2, 1, 4,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504535.4599848,,,
"6,8 tỷ VNĐ",Đường Mai Dịch phường Mai Dịch, 57m2, 3, 4,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504536.502122, 4, 4,
3 tỷ VNĐ,Đường Nguyễn Lương Bằng phường Nam Đồng, 42m2, 2, 4,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504537.4815023, 4, 4, 6
"14,4 tỷ VNĐ",Đường Lạc Long Quân phường Xuân La, 61m2, 6, 4,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504538.6204576, 4, 4, 4
"5,7 tỷ VNĐ",xã Ngọc Hồi, 47m2,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504539.5410237,,,
"12,7 tỷ VNĐ","bạch đằng, chương dương , hoàn kiếm", 86m2,,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504540.691382,,,
"7,5 tỷ VNĐ",Đường Đàm Quang Trung phường Long Biên, 50m2, 5, 5,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504546.8936107, 4, 4, 3
"8,5 tỷ VNĐ",Cầu Diễn, 65m2, 6, 5,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504547.7712014, 4, 4,
7 tỷ VNĐ,Đường Đa Sĩ phường Kiến Hưng, 60m2, 1, 4,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504549.6657066,, 4,
,Đường An Dương Vương phường Yên Phụ, 65m2, 1,,30/07/2022,Tin thường,batdongsan_so_com_vn_1670504553.2025464,,,
