price,address,Diện tích,Mặt tiền,Số tầng,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"7,5 tỷ VNĐ","THỔ QUAN, ĐỐNG ĐA, HÀ NỘI", 79m2, 6, 5,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498871.010111,,,,
"11,9 tỷ VNĐ",Đường Xã Đàn phường Phương Liên, 68m2, 4, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498872.2278545, 1, 5, 4,
"7,5 tỷ VNĐ","Bán nhà số 20 ngõ 172/128 Âu Cơ Tây Hồ, SĐCC, miễn môi giới 7,5 tỷ; 0908313333", 73m2,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498873.249274,,,,
80 triệu VNĐ/m2,Ngõ chợ Khâm Thiên, 56m2, 3,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498874.1682415,,,,
15 tỷ VNĐ,Đường Bồ Đề phường Bồ Đề, 120m2, 8, 3,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498875.3869815, 9, 3, 3,
"3,85 tỷ VNĐ",Quận Cầu Giấy, 35m2,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498876.603727,,,,
"7,9 tỷ VNĐ","Quan Nhân, Thanh Xuân", 63m2, 5, 5,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498877.5701435, 3, 6, 4, Nam
66 tỷ VNĐ,Thanh Hà Hoàn Kiếm Hà Nội, 150m2, 9, 3,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498878.6502576,, 2, 2,
"15,5 tỷ VNĐ",Quận Nam Từ Liêm, 50m2,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498879.843065,,,,
"5,888888 tỷ VNĐ",Đường Kim Hoa phường Ô Chợ Dừa,,, 7,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498880.9540946, 8,,,
"9,9 tỷ VNĐ",thanh bình, 55m2, 4, 5,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498882.1319494,, 6, 4,
"4,3 tỷ VNĐ","Đông Mỹ , Thanh Trì , Hà Nội", 80m2, 4, 4,12/07/2022,Tin thường,batdongsan_so_com_vn_1670498889.8333516, 20, 4, 3, Đông bắc
"3,32 tỷ VNĐ",1x4/16A Bát Khối, 30m2, 4, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498891.3363316,, 3, 3, Đông nam
13 tỷ VNĐ,Đường Hồ Đắc Di phường Nam Đồng, 47m2,, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498892.5032113, 6, 5, 4,
219 tỷ VNĐ,Đường Khúc Thừa Dụ phường Dịch Vọng, 300m2, 10, 15,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498893.6132438, 15, 86, 90,
26 tỷ VNĐ,Đường Nguyễn Du phường Nguyễn Du, 70m2, 6, 7,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498894.8938189, 6, 7, 7,
"8,5 tỷ VNĐ",Đường Đại Mỗ phường Đại Mỗ, 76m2, 4, 4,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498896.149461, 15, 4, 4,
"12,3 tỷ VNĐ",Đường Văn Quán phường Văn Quán, 96m2, 7, 5,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498897.5805268, 7, 4, 4,
,Nội đồng- đại thịnh- mê linh- hà nội, 124m2,,,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498898.7946334,,,,
10 tỷ VNĐ,đường Lê Đức Thọ, 32m2, 4, 7,28/08/2022,Tin thường,batdongsan_so_com_vn_1670498900.5435493, 20, 5,,
