price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id
"16,9 tỷ VNĐ",Đường Nguyễn Công Trứ phường Phố Huế, 94m2, 56, 7, 7, 8, 10,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496764.067733
"14,2 tỷ VNĐ",Đường Minh Khai phường Minh Khai, 105m2, 8, 7, 3, 2,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496765.0641031
155 tỷ VNĐ,Đường Đinh Lễ phường Tràng Tiền, 315m2, 12, 20, 5, 5, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496766.1306107
"3,5 tỷ VNĐ",Thượng ĐÌnh, 36m2,,, 5,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496767.1292822
5 tỷ VNĐ,Đường Phú Đô phường Mỹ Đình 1, 36m2, 5, 4, 7, 14,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496768.3577397
"6,5 tỷ VNĐ",Quan nhân thanh xuân hà nội, 66m2,,,,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496769.3862004
"3,4 tỷ VNĐ",Khương Đình, 34m2,,, 5,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496773.872226
32 tỷ VNĐ,Tôn Đức Thắng Đống Đa, 88m2, 5,, 2, 1, 2,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496774.8627763
"3,7 tỷ VNĐ",Đường Thịnh Quang phường Ngã Tư Sở, 35m2, 3, 4, 4, 4,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496775.817914
"4,15 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 35m2, 3, 3, 5, 3, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496776.967081
"5,6 tỷ VNĐ",Nguyễn Trãi, 44m2,,, 5,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496777.908584
"11,5 tỷ VNĐ",Đường Nguyễn Chí Thanh phường Láng Hạ, 65m2, 5, 15, 5, 5, 5,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496778.941834
"4,1 tỷ VNĐ",Đường Bùi Xương Trạch phường Khương Đình, 38m2, 4, 3, 4, 4, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496779.94639
"4,9 tỷ VNĐ",Đường Lĩnh Nam phường Vĩnh Hưng, 45m2, 4, 1, 5, 5, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496781.0059488
"4,55 tỷ VNĐ","Ngọc Hồi, Thanh Trì HN", 79m2,,,,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496782.0795646
15 tỷ VNĐ,Đường Mai Chí Thọ phường Việt Hưng, 114m2, 6, 10, 4, 4, 4,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496792.8364036
"5,5 tỷ VNĐ","Pháp Vân, Ngọc Hồi HN", 36m2,,,,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496793.8059545
"5,5 tỷ VNĐ","hoàng mai, hà nội", 75m2,,,,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496794.7819438
24 tỷ VNĐ,Hoàng Hoa Thám, 86m2,,,,,,08/09/2022,Tin thường,batdongsan_so_com_vn_1670496795.7181613
