price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"5,8 tỷ VNĐ","Ngõ Trần Phú, Hà Đông", 45m2, 4, 4, 3,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491766.624813,,,
"5,3 tỷ VNĐ",PHỐ THANH BÌNH P. MỘ LAO HÀ ĐÔNG, 51m2, 4, 4, 3,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491768.3471074, 4,,
5 tỷ VNĐ,"Ngõ Vạn Phúc, Hà Đông", 35m2, 4, 4, 3,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491771.8313124, 3,,
8 tỷ VNĐ,Đường Trung Kính phường Trung Hòa, 40m2, 4, 5,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491773.2154589, 4, 15,
"2,55 tỷ VNĐ","Tòa Nhà Sông Đà, Trần Phú, Hà Đông", 95m2, 10, 2, 2,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491774.8298233,,,
"39,9 tỷ VNĐ",Lê Đức Thọ Nam Từ Liêm, 187m2, 9,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491777.723409, 11,,
"5,2 tỷ VNĐ",Đường ao sen phường mộ lao, 42m2, 5, 4, 4,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491778.8509903, 4, 8,
"3,6 tỷ VNĐ","hoàng mai, hà nội", 53m2,,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491780.9826505,,,
"18,5 tỷ VNĐ",Đường Trường Chinh, 49m2,,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491782.7951818,,,
"4,3 tỷ VNĐ",Đường Láng phường Thịnh Quang, 40m2, 4, 4, 6,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491784.887813, 4, 3,
"13,8 tỷ VNĐ",Thái Thịnh 1, 60m2,,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491786.6525233,,,
"13,8 tỷ VNĐ",Đường Nguyễn Khuyến phường Văn Miếu, 60m2, 5, 8, 8,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491789.0803888, 3, 20,
,Đường Hoàng Như Tiếp phường Bồ Đề,, 4, 5, 4,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491793.302187,, 4,
13 tỷ VNĐ,"Quang Trung, Hà Đông, Hà Nội", 82m2, 5, 5,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491796.6350353, 5, 10,
36 triệu VNĐ/m2,135 Trần Phú, 98m2, 10, 2, 2,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491799.0972574, 98,, Tây bắc
115 tỷ VNĐ,Đường Dịch Vọng Hậu phường Dịch Vọng, 326m2,,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491806.8021576, 22,,
"15,3 tỷ VNĐ",NGỌC LÂM, 50m2, 3, 3, 3,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491809.1613064, 4, 10,
"12,5 tỷ VNĐ",Nghĩa Tân Cầu Giấy Hà Nội, 52m2, 5,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491812.6094007,,,
3 tỷ VNĐ,Đa Sỹ- Hà Đông, 35m2, 5,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491821.1587512,,,
3 tỷ VNĐ,Hà Trì- Hà Đông, 35m2, 5,,,28/09/2022,Tin thường,batdongsan_so_com_vn_1670491826.0556815,,,
