price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Lộ giới,Hướng
"12,8 tỷ VNĐ","minh khai , hai bà trưng", 63m2, 4, 4, 4, 4,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503884.1437552,,
16 tỷ VNĐ,"Phan Văn Trường, Dịch Vọng Hậu, Cầu Giấy, Hà Nội", 60m2, 7, 1, 1, 1,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503885.2178817,,
16 tỷ VNĐ,"Phan Văn Trường, Dịch Vọng Hậu, Cầu Giấy, Hà Nội", 60m2, 7, 1, 1, 1,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503886.11548,,
"11,6 tỷ VNĐ",Đường Tứ Liên phường Tứ Liên, 60m2, 4, 5, 5, 5,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503887.1707137, 5,
"8,8 tỷ VNĐ",Đường Phạm Văn Đồng phường Cổ Nhuế 1, 45m2, 4, 6, 4,,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503887.92165, 5,
"23,5 tỷ VNĐ",Đường Nguyễn Văn Cừ phường Ngọc Lâm, 60m2, 4, 6, 6, 5,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503888.7444499, 40,
"4,8 tỷ VNĐ",Đường Ngọc Lâm phường Ngọc Lâm, 50m2, 5, 4, 4, 3,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503893.8858802, 2,
"3,9 tỷ VNĐ",p-hố Ngọc Hà, 34m2, 4, 5, 3, 3,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503894.8335059, 2,
"2,65 tỷ VNĐ",Đường Yên Xá phường Tân Triều, 31m2, 4, 3, 2, 2,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503895.6961985, 2,
"2,2 tỷ VNĐ",Ngõ 1 Bùi Xương Trạch, 27m2,, 4, 3, 2,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503897.005699,,
"1,05 tỷ VNĐ",Đường Giáp Nhị phường Thịnh Liệt, 47m2,, 6, 2,,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503897.8894775, 10,
"3,45 tỷ VNĐ","Khương Trung, Thanh Xuân", 36m2,, 4, 3, 3,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503899.014467,,
"2,18 tỷ VNĐ","Bán nhà 4 tầng mới xây ở Lạc Thị, Ngọc Hồi, Thanh Trì; 2,18 tỷ; 0867638386", 30m2,,,,,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503899.8296943,,
"3,4 tỷ VNĐ",Đường Kim Giang phường Kim Giang, 26m2, 3, 5, 3, 4,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503900.8429837, 3,
"2,4 tỷ VNĐ","Quan Nhân, Thanh Xuân", 23m2, 4, 4, 3, 3,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503902.0698938,,
"3,5 tỷ VNĐ","Nguyễn Trãi, Thanh Xuân, Hà Nội", 50m2,, 5, 4, 5,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503903.0396516,, Đông nam
"4,35 tỷ VNĐ",Ngõ 44 Nhân Hòa, 35m2, 3, 5, 4, 4,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503904.803673,,
"2,6 tỷ VNĐ",Ngõ 2 Nhân Hòa, 26m2, 4, 4, 3, 3,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503907.9562485,,
"1,7 tỷ VNĐ",Đường 23 phường Vân Nội, 42m2, 4,,,,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503908.7521596,,
"2,73 tỷ VNĐ","Chính Kinh, Thanh Xuân", 27m2, 4, 3,,,03/08/2022,Tin thường,batdongsan_so_com_vn_1670503909.6527593,,
