price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet
"6,5 tỷ VNĐ","Đường Láng, Láng Hạ, Đống Đa", 40m2, 5, 3, 5, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467188.4064264,
2 tỷ VNĐ,"Đường Giang Biên, Giang Biên, Long Biên", 45m2, 4,,,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467190.7091053,
"7,2 tỷ VNĐ","Đường Khương Đình, Khương Đình, Thanh Xuân", 58m2, 4, 2, 5, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467193.1215281, 4
"3,2 tỷ VNĐ",90 Nguyễn Tuân, 71m2,,, 10, 2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467195.619433, 2
"12,7 tỷ VNĐ",Hoàng Ngân Nhân Chính Thanh Xuân Hà Nội, 50m2,,, 7,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467198.2708764,
"9,5 tỷ VNĐ","Đường Minh Khai, Minh Khai, Hai Bà Trưng", 50m2,, 3, 7, 5,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467201.0882363, 6
"10,85 tỷ VNĐ","Đường Lê Trọng Tấn, An Khánh, Hoài Đức", 120m2, 5,,,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467203.5760252,
107 ngàn VNĐ,"Đường Lạc Long Quân, Bưởi, Tây Hồ", 220m2,, 1,,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467206.1076806,
"5,2 tỷ VNĐ","Đường Hồ Văn Chương, Thổ Quan, Đống Đa", 35m2, 4, 3, 5, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467208.789434,
3 tỷ VNĐ,"Đường Nguyễn Thời Trung, Thạch Bàn, Long Biên",,, 3, 5,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467210.6779737,
"3,8 tỷ VNĐ",văn hương, 35m2,,,,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467212.8746367,
6 tỷ VNĐ,"Đường Thái Thịnh, Thịnh Quang, Đống Đa", 38m2, 5, 4, 5, 6,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467215.1706417, 13
6 tỷ VNĐ,"Đường Thái Thịnh, Thịnh Quang, Đống Đa", 38m2, 5, 4, 5, 6,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467217.9595766, 13
15 tỷ VNĐ,Thái Hà _ Trung Liệt, 45m2, 3,, 5,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467219.9525595,
30 tỷ VNĐ,An Trạch _ Cát Linh, 90m2,,,,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467222.636815,
430 tỷ VNĐ,Tôn Đức Thắng, 540m2, 22,, 9,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467225.206681,
"1,3 tỷ VNĐ","Đường Khâm Thiên, Khâm Thiên, Đống Đa", 13m2, 3, 2, 4, 2,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467228.5293026, 3
370 tỷ /tháng,Dịch Vọng Hậu, 550m2, 16,, 9,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467230.6628542,
"3,8 tỷ VNĐ",văn chương, 35m2,,,,,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467232.526377,
6 tỷ VNĐ,"Đường Pháo Đài Láng, Láng Thượng, Đống Đa", 40m2, 4, 4, 4, 4,10/11/2022,Tin thường,batdongsan_so_com_vn_1670467234.646472, 5
