price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"5,1 tỷ VNĐ",Đường Tỉnh Lộ 87A phường Yên Bài, 1440m2, 27,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482190.952352,,,,
"1,95 tỷ VNĐ",Đường Lê Trọng Tấn phường An Khánh, 66m2,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482193.9005156, 25, 28, 2, 2
"18,6 tỷ VNĐ",Phố Cự Lộc, 250m2, 18,04/07/2022,Tin thường,batdongsan_so_com_vn_1670482196.409485,, 1, 1, 1
"3,2 tỷ VNĐ",Phố An Hoà, 27m2, 4,23/06/2022,Tin thường,batdongsan_so_com_vn_1670482199.119719,, 5, 4, 4
"3,2 tỷ VNĐ",Phố Phùng Khoang, 34m2, 4,22/06/2022,Tin thường,batdongsan_so_com_vn_1670482201.461964,, 5, 4, 4
"4,2 tỷ VNĐ",đường Trung Văn, 40m2, 4,21/06/2022,Tin thường,batdongsan_so_com_vn_1670482204.7352488,, 4, 5, 4
"9,9 tỷ VNĐ",KĐT Văn Quán, 50m2, 4,14/06/2022,Tin thường,batdongsan_so_com_vn_1670482207.3979917,, 5, 6,
"8,3 tỷ VNĐ",Phố Đại An, 54m2, 4,14/06/2022,Tin thường,batdongsan_so_com_vn_1670482209.883611,, 5, 6,
"3,25 tỷ VNĐ",Phố An Hoà, 27m2, 4,14/06/2022,Tin thường,batdongsan_so_com_vn_1670482212.4191425,, 5, 4,
"4,7 tỷ VNĐ",Văn Phú, 51m2, 4,14/06/2022,Tin thường,batdongsan_so_com_vn_1670482214.9044309,, 4, 6,
"6,5 tỷ VNĐ",Vạn Phúc, 44m2, 4,14/06/2022,Tin thường,batdongsan_so_com_vn_1670482216.8891735,, 5, 6,
"3,7 tỷ VNĐ",Trần Phú, 30m2, 4,14/06/2022,Tin thường,batdongsan_so_com_vn_1670482219.2218688,, 5, 4,
"5,3 tỷ VNĐ",Mỹ Đình, 56m2,,23/05/2022,Tin thường,batdongsan_so_com_vn_1670482223.3766894,,,,
"6,2 tỷ VNĐ",Mỹ Đình, 54m2,,23/05/2022,Tin thường,batdongsan_so_com_vn_1670482226.6913328,, 6,,
"6,1 tỷ VNĐ",Mỹ Đình, 67m2,,23/05/2022,Tin thường,batdongsan_so_com_vn_1670482229.2642555,, 5,,
"3,4 tỷ VNĐ",Trung Văn, 37m2,,23/05/2022,Tin thường,batdongsan_so_com_vn_1670482231.80724,, 5,,
"26,8 tỷ VNĐ",Núi Trúc, 72m2,,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482234.716452,,,,
"8,2 tỷ VNĐ",Đường Quốc lộ 32 phường Tân Lập, 85m2, 5,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482237.005422, 40, 4, 5, 4
"37,5 triệu VNĐ",Đường võ nguyên giáp phường nguyên khê, 40m2, 4,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482239.5173073,,,,
"5,6 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 41m2, 5,06/10/2022,Tin thường,batdongsan_so_com_vn_1670482241.8819675, 2, 5, 6, 4
