price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"3,15 tỷ VNĐ","Đường Cổ Điển A, Tứ Hiệp, Thanh Trì", 46m2, 4,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469945.6710815,,,,
670 triệu VNĐ,"Đường Quốc Lộ 2, Minh Trí, Sóc Sơn", 58m2, 4,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469948.2863488,,,,
"4,8 tỷ VNĐ","Nguyễn Du, Thị Trấn Thường Tín", 68m2,,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469950.9302027,,,,
"10,8 tỷ VNĐ","Đường Cổ Linh, Thạch Bàn, Long Biên", 80m2, 6,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469953.6140742, 6, 5, 5, 5
"7,3 tỷ VNĐ","Đường Nguyễn Như Đổ, Quốc Tử Giám, Đống Đa", 45m2, 7,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469955.5567632, 3, 4, 5,
"3,1 tỷ VNĐ","Xóm Lò, Thanh Am", 38m2,,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469957.603402,,,,
"4,1 tỷ VNĐ","Bán nhà đất tập thể Kim Liên; Đống Đa, 4,1 tỷ; 0329326828", 127m2,,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469960.1058526,,,,
12 tỷ VNĐ,"Tố Hữu, La Khê, Hà  Đông.", 60m2, 4,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469961.6697624,, 4, 4, 4
"24,5 tỷ VNĐ","Đường Nguyễn Thị Định, Trung Hòa, Cầu Giấy", 85m2, 15,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469964.1090565, 5, 8, 5, 8
"2,5 tỷ VNĐ","Đường Quốc lộ 6, Phụng Châu, Chương Mỹ", 40m2, 4,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469966.254894, 7, 4, 3, 2
"3,25 tỷ VNĐ",Phố Giáp Nhị quận Hai Bà Trưng Hà Nội, 65m2, 6,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469969.0346746,,,,
29 tỷ VNĐ,Tô Hiến Thành, 188m2, 12,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469970.8774385,,,,
"2,5 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 35m2, 5,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469974.2195554,,,,
"3,7 tỷ VNĐ","Đường Quang Trung, Yết Kiêu, Hà Đông", 100m2, 7,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469976.182524, 2,, 2, 2
28 tỷ VNĐ,"Đường Phạm Hùng, Mỹ Đình 1, Nam Từ Liêm", 100m2, 6,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469978.5090642, 10, 10, 36, 36
"2,75 tỷ VNĐ","Đường Hồ Tùng Mậu, Cầu Diễn, Nam Từ Liêm", 32m2, 4,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469980.8152425, 3, 4, 3, 1
"2,75 tỷ VNĐ","Đường Hồ Tùng Mậu, Cầu Diễn, Nam Từ Liêm", 32m2, 4,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469983.1779196, 3, 4, 3, 1
"8,4 tỷ VNĐ","Chiến Thắng, Văn Quán, Hà Đông.", 50m2, 3,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469985.5115376,, 6, 3, 5
52 tỷ VNĐ,"Đường Hàng Buồm, Hàng Buồm, Hoàn Kiếm", 100m2, 3,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469988.128615, 10, 3, 4, 4
"4,38 tỷ VNĐ","Đường Lương Khánh Thiện, Hoàng Văn Thụ, Hoàng Mai", 35m2, 4,05/11/2022,Tin thường,batdongsan_so_com_vn_1670469990.5644205, 5, 5, 4, 3
