price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Lộ giới,Số phòng ngủ,Số toilet,Mặt tiền
"3,55 tỷ VNĐ",Văn Phú- Hà Đông, 37m2, 5,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497826.169619,,,,
"4,9 tỷ VNĐ",Phan Đình Giót- Hà Đông, 37m2, 5,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497827.0014296,,,,
"2,95 tỷ VNĐ",Đường ngõ quỳnh phường Quỳnh Lôi, 30m2, 4,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497828.0346317, 2, 3, 3,
"6,3 tỷ VNĐ",Đường Thiên Hiền phường Mỹ Đình, 68m2, 5,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497829.6633554, 3, 5, 4, 4
32 tỷ VNĐ,Đường Lạc Long Quân phường Bưởi, 85m2, 1,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497830.740698, 15, 1, 1, 5
"3,5 tỷ VNĐ","Xuân Phương, Nam Từ Liêm", 60m2,,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497831.70158,,,, 4
"3,5 tỷ VNĐ",Đường Xuân Phương phường Xuân Phương, 60m2, 4,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497832.8934317, 2,,,
"3,5 tỷ VNĐ",Đường Xuân Phương phường Xuân Phương, 60m2, 4,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497833.8382003, 2,,,
"10,5 tỷ VNĐ",Đặng Thùy Trâm Nghĩa Tân Cầu Giấy Hà Nội, 48m2,,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497834.7617302,,,,
"2,4 tỷ VNĐ",Phúc Lợi, 36m2,,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497835.7850373,,,, 3
"3,8 tỷ VNĐ",Đường Thụy Khuê phường Thụy Khuê, 16m2, 4,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497836.6118174, 8, 3, 3, 2
6 tỷ VNĐ,Đường Nguyễn Văn Cừ phường Thạch Bàn, 50m2, 6,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497837.560245, 6, 7, 4, 4
"2,9 tỷ VNĐ",x4/16 Hoàng Nhu Tiếp, 41m2, 1,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497839.0526395,, 1, 1, 3
"4,25 tỷ VNĐ",Khương Hạ Khương Đình Thanh Xuân Hà Nội, 49m2,,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497840.068966,,,,
"2,95 tỷ VNĐ",Đường Phúc Lợi phường Phúc Lợi, 40m2, 5,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497841.077327, 4, 4, 4, 4
"30,5 tỷ VNĐ",Vũ Tông Phan Thanh Xuân Hà Nội, 109m2, 9,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497843.2196093,, 10, 10,
"3,4 tỷ VNĐ",Đa Sỹ- Kiến Hưng - Hà Đông, 60m2,,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497846.6405594,,,,
7 tỷ VNĐ,Thượng Đình, 50m2, 5,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497848.5420485,,,,
"4,7 tỷ VNĐ","khương đình, thanh xuân, hà nội.", 60m2, 4,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497849.559327,, 4, 3, 5
28 tỷ VNĐ,Đường Hàng Bạc phường Hàng bạc, 38m2, 5,02/09/2022,Tin thường,batdongsan_so_com_vn_1670497850.445958, 1, 3, 3, 3
