price,address,Diện tích,Mặt tiền,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Lộ giới,Số toilet
"5,2 tỷ VNĐ",Trần Thái Tông, 42m2, 4, 5, 3,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448650.7253716,,
"3,3 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 28m2, 3, 4, 3,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448652.863876, 3, 4
47 tỷ VNĐ,Giảng Võ - Đống Đa - Hà Nội, 82m2, 5, 7, 8,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448656.4257376,, 9
17 triệu VNĐ/m2,kim hoa- mê linh- hà nội, 300m2,,,,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448658.6672118,,
,"Đường Hồ Đền Lừ, Tân Mai, Hoàng Mai", 63m2,,,,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448661.575384, 1,
"5,5 tỷ VNĐ","Đường Hà Huy Tập, Yên Viên, Gia Lâm", 86m2, 4, 4, 3,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448664.366643, 3, 3
7 tỷ VNĐ,Ngõ 172 Phú Diễn, 58m2, 4, 1, 1,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448666.7666726, 8,
"20,5 tỷ VNĐ","Đường Trần Quốc Vượng, Dịch Vọng, Cầu Giấy", 120m2, 7, 7, 23,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448669.2512534, 3, 23
4 tỷ VNĐ,"Đường Chùa Láng, Láng Thượng, Đống Đa", 40m2,, 5, 3,13/11/2022,Tin thường,batdongsan_so_com_vn_1670448670.9995973, 2, 4
"13,2 tỷ VNĐ","Đường Nguyên Hồng, Láng Hạ, Đống Đa", 50m2, 4, 5, 4,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448672.9896052, 8, 5
"7,55 tỷ VNĐ",Hoàng Quốc Việt, 43m2, 4, 6, 4,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448676.168137,,
"7,2 tỷ VNĐ",KĐT Duyên Thái, 85m2,,,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448678.947462,,
"3,45 tỷ VNĐ",Văn La- Hà Đông, 40m2,, 4,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448682.1667473,,
"3,45 tỷ VNĐ","Văn La, Hà Đông", 40m2,, 4,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448684.6799614,,
32 tỷ VNĐ,"Đường Võ Chí Công, Nghĩa Đô, Cầu Giấy", 800m2, 120,,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448704.49573, 1,
98 tỷ VNĐ,"Đường Phố Huế, Lê Đại Hành, Hai Bà Trưng", 250m2, 7, 3,,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448706.9899068, 20,
"3,3 tỷ VNĐ","Đường Thượng Thanh. Phường Thượng Thanh , Quận Long Biên, Hà Nội", 33m2,, 5, 3,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448709.5703902,,
"4,95 tỷ VNĐ","Đường Minh Khai, Minh Khai, Hai Bà Trưng", 45m2, 45, 5, 4,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448711.4201686, 1, 4
3 tỷ VNĐ,"Đường Bát Khối, Long Biên, Long Biên", 30m2, 4, 5, 4,12/11/2022,Tin thường,batdongsan_so_com_vn_1670448714.3950465, 2, 3
