price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id
"6,2 tỷ VNĐ","Đường Thanh Nhàn, Phường Thanh Nhàn", 52m2, 4, 3, 5, 5, 4,30/09/2022,Tin thường,batdongsan_so_com_vn_1670491114.3120396
"17,8 tỷ VNĐ","Phố Hòa Mã, Phường Phạm Đình Hổ", 80m2, 6, 20, 5, 4, 4,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491115.485429
"3,5 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 30m2, 3, 1, 1, 1,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491116.7279704
"4,3 tỷ VNĐ",Đường Quan Nhân phường Nhân Chính, 44m2, 3, 2, 3, 3, 2,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491118.0101163
"3,5 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 30m2, 3, 1, 1, 1,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491119.105195
30 tỷ VNĐ,Đường Đình Thôn phường Mỹ Đình 1, 105m2, 10, 10, 8, 8, 9,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491121.3042128
"4,65 tỷ VNĐ","Tự Khoát, Thanh Trì HN", 61m2,,,,,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491123.5049884
"3,8 tỷ VNĐ","Tứ Hiệp, Thanh Trì HN", 56m2,,,,,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491124.9586303
"4,45 tỷ VNĐ","Thượng Thanh, Long Biên, HN", 55m2,,,,,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491126.2664313
3 tỷ VNĐ,Đường Ngọc Trục phường Đại Mỗ, 35m2, 4, 3, 5, 4,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491127.3680239
3 tỷ VNĐ,Đường Ngọc Trục phường Đại Mỗ, 35m2, 4, 3, 5, 4,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491128.5142365
3 tỷ VNĐ,Đường Yên Hòa Đại Mỗ phường Đại Mỗ, 32m2, 4, 4, 5, 4,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491130.631419
9 tỷ VNĐ,Đường Nguyễn Văn Linh phường Thạch Bàn, 190m2, 9,,,,,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491132.0526197
"3,7 tỷ VNĐ",Đường Mậu Lương phường Mộ Lao, 47m2, 3, 3, 4, 4, 4,01/10/2022,Tin thường,batdongsan_so_com_vn_1670491133.6028743
"4,3 tỷ VNĐ",Đường Thượng Thanh phường Thượng Thanh, 48m2, 4, 1, 4, 3, 1,30/09/2022,Tin thường,batdongsan_so_com_vn_1670491134.697983
"3,7 tỷ VNĐ",Đường Hồng Tiến phường Hồng Tiến, 30m2, 3, 1, 1, 1, 1,30/09/2022,Tin thường,batdongsan_so_com_vn_1670491136.0647333
"3,5 tỷ VNĐ",Đường Việt Hưng phường Việt Hưng, 30m2, 3, 1, 1, 1,,30/09/2022,Tin thường,batdongsan_so_com_vn_1670491137.0875556
23 tỷ VNĐ,Đường An Dương Vương phường Cổ Nhuế 1, 8400m2, 4, 10, 4, 4, 6,30/09/2022,Tin thường,batdongsan_so_com_vn_1670491138.4222193
"4,6 tỷ VNĐ",Vũ Tông Phan Khương Đình Thanh Xuân Hà Nội, 40m2,,,,,,30/09/2022,Tin thường,batdongsan_so_com_vn_1670491140.107208
45 tỷ VNĐ,Đường Vũ Trọng Phụng phường Nhân Chính, 7700m2, 8, 8, 9,, 10,30/09/2022,Tin thường,batdongsan_so_com_vn_1670491141.3247657
