price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"12,3 tỷ VNĐ",Phùng Hưng- Hà Đông, 60m2, 6,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495958.6773932,,,,,
"12,3 tỷ VNĐ",Quang Trung- Hà Đông, 60m2, 6,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495959.5525768,,,,,
"7,2 tỷ VNĐ","Tố Hữu, La Khê, Hà Đông", 50m2, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495960.6439946, 4, 7, 4, 3,
"5,7 tỷ VNĐ",Xuân La, 57.2m2, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495961.4311516,,, 4,,
3 tỷ VNĐ,Đường Văn Trì 2 phường Minh Khai, 40m2, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495962.2582908, 4, 3, 5, 4,
"5,25 tỷ VNĐ","Phố Vũ Trọng Phụng, Thanh xuân, Hà Nội", 45m2, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495963.5538495,,, 4, 3,
"2,6 tỷ VNĐ",Đường Hòe Thị phường Xuân Phương, 42m2, 5,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495964.6265242, 13, 3, 4, 3,
"3,8 tỷ VNĐ",Đường Tố Hữu phường Trung Văn, 136m2, 2,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495965.7874832, 15, 40, 3, 2,
"12,75 tỷ VNĐ",173 Trường Chinh, 47m2, 7,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495966.8380203, 4,, 4, 6,
"2,2 tỷ VNĐ",Đường Đại Bằng phường Nguyên Khê, 65m2,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495967.7977433, 4,,,,
"8,5 tỷ VNĐ",Đường Phú Mỹ phường Mỹ Đình 2, 41m2, 3,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495969.0463257, 5, 20, 3,,
"10,9 tỷ VNĐ",Đường Khương Trung phường Khương Trung, 65m2, 7,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495970.161347,, 3, 17, 17,
866 triệu VNĐ,hoàn kiếm hà nội, 80m2,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495971.1826131, 5, 6,,,
"5,2 tỷ VNĐ",cự lộc thanh xuân hà nội., 68m2,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495972.2129629,,,,,
"4,7 tỷ VNĐ",Đường Trần Phú phường Điện Biên, 50m2, 1,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495973.256715, 5, 1, 3, 1,
"7,5 tỷ VNĐ",Đường Triều Khúc phường Thanh Xuân Nam, 60m2, 4,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495974.3988533, 5, 15, 6,,
12 tỷ VNĐ,Đường Lai Xá phường Kim Chung, 95m2,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495975.6484632, 5, 1,,,
,Bồ Đề, 71m2, 5,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495976.6188362, 9,, 6, 4,
43 tỷ VNĐ,Bồ Đề, 78m2, 5,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495977.736154, 6,, 4, 3,
"1,5 tỷ VNĐ","Bán Căn hộ Grand Sunlake, Trung tâm Hà Đông từ 1tỷ5", 99m2,,12/09/2022,Tin thường,batdongsan_so_com_vn_1670495978.6375651,,, 2, 2, Đông nam
