price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Hướng
"30,5 triệu VNĐ",Đường đường 131 phường Mai Đình, 101m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494028.4363155,,,,,
"12,5 tỷ VNĐ",KĐT Văn Phú, 83m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494029.4456673, 10, 4, 4,,
15 tỷ VNĐ,Bán nhà ngõ 34 Hoàng Cầu 80m x 5 tầng giá 15 tỷ, 80m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494030.2790823,,,,,
23 tỷ VNĐ,Hoàng Quốc Việt Cầu Giấy, 95m2, 7,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494031.315331,, 8,,,
"12,8 tỷ VNĐ",Đường Lê Văn Lương phường Nhân Chính, 81m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494032.5425346, 10, 4,,,
"866,666666 triệu VNĐ",hoàn kiếm hà nội, 80m2, 5,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494036.5372007, 6,,,,
"1,45 tỷ VNĐ",Đường Quốc Lộ 35 phường Tân Dân, 76m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494037.7912138,,,,,
"8,5 tỷ VNĐ",Đường 108 Trần Phú phường Mộ Lao, 45m2, 5,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494038.757195, 1, 8, 5, 5,
34 triệu VNĐ/m2,quốc lộ 32, 100m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494039.7318268,,,,,
"1,4 tỷ VNĐ","Yên Viên, Thị Trấn Trâu Quỳ, Gia Lâm, Hà Nội", 48m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494040.9864407,,, 1, 1, Đông nam
9 tỷ VNĐ,"93 Láng Hạ, quận Đống Đa, Hà Nội", 136m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494042.0185668,,, 3, 2, Đông nam
7 tỷ VNĐ,"Phố Kim Ngưu, Phường Thanh Nhàn", 40m2, 4,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494043.1552403, 3, 5, 4, 4,
"6,9 tỷ VNĐ",Đường Lạc Trung phường Thanh Lương, 66m2, 8,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494044.6364717, 3, 4, 3, 3,
2 tỷ VNĐ,Đường Thạch Cầu phường Long Biên, 35m2, 3,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494045.7548919, 3, 3, 2, 3,
4 tỷ VNĐ,Đường Tư đình phường Phúc Đồng, 44m2, 5,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494046.6760333, 3, 5, 4, 4,
"35,5 triệu VNĐ/m2",quốc lộ 32, 90m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494047.6678565,,,,,
32 triệu VNĐ/m2,quốc lộ 32, 70m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494048.735807,,,,,
32 triệu VNĐ/m2,quốc lộ 32, 44m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494049.5695355,,,,,
36 triệu VNĐ/m2,quốc lộ 32, 42m2,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494050.5527062,,,,,
"4,2 tỷ VNĐ",Đường Nhân Mỹ phường Mỹ Đình 1, 35m2, 3,23/09/2022,Tin thường,batdongsan_so_com_vn_1670494051.776858, 2, 5, 4, 4,
