price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Hướng
"3,9 tỷ VNĐ","Đường Trần Phú, Mộ Lao, Hà Đông", 31m2, 5, 4, 5, 4, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473808.485992,
"5,6 tỷ VNĐ","Đường Hoàng Quốc Việt, Nghĩa Đô, Cầu Giấy", 51m2, 3,,,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473811.2855973,
"6,3 tỷ VNĐ","Đường Minh Khai, Minh Khai, Hai Bà Trưng", 54m2, 4, 30, 5, 6, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473813.7023156,
"3,9 tỷ VNĐ","Đường Trần Phú, Mộ Lao, Hà Đông", 31m2, 5, 4, 5, 4, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473816.4019723,
"27,5 tỷ VNĐ","Đường Nguyễn Trãi, Khương Đình, Thanh Xuân", 200m2,, 6, 4,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473818.5674882,
"3,2 tỷ VNĐ","Đường Tam Trinh, Yên Sở, Hoàng Mai", 45m2, 3, 3, 4, 3, 3,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473820.704594,
4 tỷ VNĐ,"Khâm Thiên, Đông Đa, Hà Nội", 50m2, 3,, 3, 2, 2,07/10/2022,Tin thường,batdongsan_so_com_vn_1670473823.1833394, Tây nam
"4,8 tỷ VNĐ","Đường Bùi Xương Trạch, Khương Đình, Thanh Xuân", 35m2, 4, 2, 5, 3, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473825.747819,
"3,7 tỷ VNĐ","Số 55 Nguyễn Văn Giáp, Nam Từ Liêm, Hà Nội", 80m2,,,, 2, 2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473828.0641818, Đông bắc
49 triệu VNĐ/m2,"số 55 đường Nguyễn Văn Giáp, Cầu Diễn, Nam Từ Liêm - Mỹ Đình.", 80m2,,, 10, 2, 2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473830.583029, Nam
49 triệu VNĐ/m2,"số 55 đường Nguyễn Văn Giáp, Cầu Diễn, Nam Từ Liêm - Mỹ Đình.", 80m2,,, 10, 2, 2,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473833.795021, Nam
"5,2 tỷ VNĐ","Đường Láng Hạ, Láng Hạ, Đống Đa", 53m2, 3, 3, 5, 4, 4,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473836.31323,
"6,5 tỷ VNĐ",Quang Trung - Hà Đông, 58m2,,, 4,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473839.3817973,
"2,28 tỷ VNĐ","TT Xuân Mai, Hà Nội", 1268m2,,,,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473842.0672503,
"6,3 tỷ VNĐ",Lê Trọng Tấn - Hà Đông, 58m2,,, 4,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473844.776085,
"12,3 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 58m2,,, 5,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473847.4664438,
"12,2 tỷ VNĐ",Tố Hữu- Hà Đông, 58m2,,, 5,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473851.3185923,
12 tỷ VNĐ,"Đường Xuân Đỉnh, Xuân Đỉnh, Bắc Từ Liêm", 122m2,, 1,,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473853.6804104,
"1,12 tỷ VNĐ","Đường Tỉnh Lộ 131, Quang Tiến, Sóc Sơn", 63m2, 4,,,,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473856.109602,
14 tỷ VNĐ,"Đường Cầu Giấy, Dịch Vọng, Cầu Giấy", 55m2, 4, 4, 8, 6,,28/10/2022,Tin thường,batdongsan_so_com_vn_1670473859.6162035,
