price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Lộ giới
10 tỷ VNĐ,Trưng Nhị- Hà Đông, 60m2, 5,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474596.0170379,,,,
"5,5 tỷ VNĐ","Khâm Thiên, Đống Đa, Hà Nội", 45m2, 5,27/10/2022,Tin thường,batdongsan_so_com_vn_1670474598.5833874, 4, 5, 5,
"5,6 tỷ VNĐ",Đường Láng Hạ phường Thành Công, 40m2, 6,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474601.3679988, 6, 8,, 3
"39,5 tỷ VNĐ",Thiên Hiền Nam Từ Liêm Hà Nội, 100m2, 9,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474604.0999522, 16, 9, 9,
8 tỷ VNĐ,Đường Trường Chinh phường Phương Liên, 45m2, 4,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474606.3171797,,,, 9
"3,28 tỷ VNĐ",Đường Lĩnh Nam phường Lĩnh Nam, 32m2, 5,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474609.055716, 3, 3, 4, 4
"14,5 tỷ VNĐ",Đường Cầu Giấy phường Dịch Vọng, 50m2, 8,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474611.6918564, 4, 9, 10, 1
"10,5 tỷ VNĐ","Vĩnh Hồ, Đống Đa, Hà Nội", 50m2, 5,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474614.2897608, 5, 3, 4,
"10,8 tỷ VNĐ",Đường Khuất Duy Tiến phường Nhân Chính, 63m2, 6,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474618.1744263, 5, 6, 5, 5
4 tỷ VNĐ,Ngô Quyền, 30m2, 5,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474620.5780718, 5, 4, 4,
"2,25 tỷ VNĐ",Đường Tỉnh Lộ 422B phường Vân Canh, 42m2, 5,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474622.7148135, 5, 4, 4, 3
"6,5 tỷ VNĐ",Đường 8/3 phường Thanh Nhàn, 58m2, 5,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474624.6295786, 5, 5, 6, 1
62 tỷ VNĐ,Quận Tây Hồ, 160m2,,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474626.7471807,,,,
"5,85 tỷ VNĐ",Đường Định Công phường Định Công, 98m2, 3,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474629.1192598, 4, 12, 12, 1
"26,2 tỷ VNĐ",Mạc Thái Tổ Yên Hoà Cầu Giấy Hà Nội, 80m2, 5,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474631.9089978, 12, 5, 4,
40 tỷ VNĐ,Đường Vương Thừa Vũ phường Thanh Xuân Trung, 190m2, 9,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474634.321404, 8, 11, 11, 30
40 tỷ VNĐ,Đường Vương Thừa Vũ phường Thanh Xuân Trung, 190m2, 9,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474636.6160395, 8, 11, 11, 30
5 tỷ VNĐ,Đường Gia Quất phường Thượng Thanh, 50m2, 4,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474639.0447063, 5, 3, 4, 10
"8,35 tỷ VNĐ",Quận Nam Từ Liêm, 70m2,,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474641.343237,,,,
"8,3 tỷ VNĐ",Đường Thành Công phường Thành Công, 65m2, 7,26/10/2022,Tin thường,batdongsan_so_com_vn_1670474644.0846057, 4, 10, 10, 2
