price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"4,2 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 40m2, 4, 5, 5, 3,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441757.5832565,,
"5,2 tỷ VNĐ","Đường Thịnh Quang, Thịnh Quang, Đống Đa", 31m2, 6, 5, 5, 5,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441759.570101, 3,
"5,2 tỷ VNĐ","Đường Đê La Thành, Ô Chợ Dừa, Đống Đa", 40m2, 1, 4, 4, 4,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441761.6032877, 4,
"2,9 tỷ VNĐ","Đường Thụy Lâm, Thụy Lâm, Đông Anh", 110m2,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441764.5335846, 5,
228 triệu VNĐ,"Đường Hoàng Sâm, Nghĩa Đô, Cầu Giấy", 50m2, 12, 4,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441766.4251068, 3,
126 triệu VNĐ/m2,"Trâu Quỳ , Gia Lâm , Hà Nội", 87.5m2,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441768.663321,,
"9,9 tỷ VNĐ","Đường Hoàng Văn Thái, Khương Trung, Thanh Xuân", 55m2, 25, 8, 7, 6,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441770.893674, 5,
16 triệu VNĐ,"Đường Quốc lộ 5, Đa Tốn, Gia Lâm", 60m2, 20, 11, 2, 2,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441773.299552, 11,
700 triệu VNĐ,đất đẹp 2 oto tránh cách 100m ra đường tỉnh 426  tại Ứng Hòa- Hà Nội, 80m2, 6,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441776.6428463, 4,
"6,8 tỷ VNĐ","Đường Chùa Bộc, Quang Trung, Đống Đa", 40m2, 10, 5, 6,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441780.0861838, 4,
"4,15 tỷ VNĐ",Nguyễn Ngọc Vũ Trung HÒa Cầu Giấy Hà Nội, 32m2,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441782.6501563,,
,hà nội, 80m2,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441785.067758,,
"15,2 tỷ VNĐ","Đường Ngọc Hà, Ngọc Hà, Ba Đình", 65m2, 6, 5, 5, 5,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441786.7473378, 4, Đông nam
"2,7 tỷ VNĐ","Đường Lương Thế Vinh, Mễ Trì, Nam Từ Liêm", 69m2, 24, 4, 2, 2,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441788.981872, 7,
"3,9 tỷ VNĐ","Đường , Văn Chương, Đống Đa", 65m2,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441791.1447423, 5,
228 triệu VNĐ,"Đường Hoàng Sâm, Nghĩa Đô, Cầu Giấy", 50m2, 1, 4,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441793.44864, 3,
"5,1 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 46m2, 1, 5, 4, 5,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441796.109586, 4,
11 tỷ VNĐ,"Đường Trần Quang Diệu, Ô Chợ Dừa, Đống Đa", 50m2, 1, 4, 4, 3,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441798.6109533, 4,
"7,2 tỷ VNĐ","Đường , Khương Trung, Thanh Xuân", 55m2, 2, 5, 3, 4,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441801.186549,,
,"💥Chính chủ định cư nước ngoài cần bán lô đất tại Cấn Hữu, Quốc Oai, 2xtr/m2; 0915348998", 171.6m2,,,,,01/12/2022,Tin thường,batdongsan_so_com_vn_1670441803.4672441,,
