price,address,Diện tích,Mặt tiền,Ngày đăng,Loại tin,id,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"4,5 tỷ VNĐ",Đường Bồ Đề phường Bồ Đề, 53m2, 5,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476970.0459983,,,,
4 tỷ VNĐ,Đường Hoàng Hoa Thám phường Ngọc Hà, 35m2, 4,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476971.0004559, 1, 5, 3, 3
"4,1 tỷ VNĐ",Đường Trung Phụng phường Trung Phụng, 36m2, 3,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476972.332914, 3, 4, 4, 3
,Đường  phường Vân Canh,,,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476976.1494353, 6,,,
9 tỷ VNĐ,Bán nhà phân lô phố Trường Chinh 50m 7 tầng thang máy, 50m2,,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476977.7012846,,,,
"6,1 tỷ VNĐ",Đường Đỗ Đức Dục phường Mỹ Đình 2, 48m2, 5,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476979.489961,,,,
"4,95 tỷ VNĐ",Đường Nguyễn Khang phường Yên Hòa, 40m2, 3,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476980.779847, 2, 5, 4, 4
"2,55 tỷ VNĐ",Đường Ngõ Thịnh Hào 2 phường Hàng Bột, 29m2, 4,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476982.210958, 3, 3, 2, 1
800 triệu VNĐ,hoàn kiếm hà nội, 80m2, 5,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476983.5404155, 6,,,
"4,55 tỷ VNĐ",Đường Lê Trọng Tấn phường Khương Mai, 42m2, 4,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476985.134635, 4, 4, 4, 3
"7,5 tỷ VNĐ",Đường Võng Thị phường Bưởi, 50m2, 3,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476986.1708746, 2, 5, 6, 3
6 tỷ VNĐ,"⭐Chính chủ bán đất tại 15 ngách 96/63 Đại Từ, Hoàng Mai, 6tỷ; 0913595581", 60m2,,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476987.164538,,,,
,Đường Khương Trung phường Khương Trung, 34m2, 5,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476988.5604734, 1, 5, 3, 4
"6,8 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 52m2, 5,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476989.7333293, 3, 5, 9, 9
950 triệu VNĐ,Đường Nguyễn Văn Cừ phường Ngọc Lâm, 28m2,,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476990.9036167, 5, 3, 2, 2
"4,9 tỷ VNĐ",Đường Nguyễn Sơn phường Gia Thụy, 60m2, 4,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476991.935948, 5, 4, 4, 4
"37,8 tỷ VNĐ",Yên Lãng Đống Đa Hà Nội, 70m2, 7,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476993.1864011,, 10,, 10
33 tỷ VNĐ,Vũ Tông Phan Thanh Xuân, 71m2, 5,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476994.710444,, 8, 6, 6
"1,8 tỷ VNĐ",Đường Trường Chinh phường Trương Định, 55m2, 6,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476995.896834, 9, 23, 2, 1
6 tỷ VNĐ,Đường Quan Thổ 1 phường Ô Chợ Dừa, 41m2, 4,15/10/2022,Tin thường,batdongsan_so_com_vn_1670476996.941305, 4, 3, 3, 3
