price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền
"16,5 tỷ VNĐ","Đường Trường Chinh, Ngã Tư Sở, Đống Đa", 62m2, 30, 6, 5, 5,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441306.420251,
"1,6 tỷ VNĐ","Đường Yên Lạc, Thanh Lương, Hai Bà Trưng", 65m2, 20, 6, 5, 4,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441308.4000652, 6
"5,6 tỷ VNĐ","Mặt ngõ 54 Nguyễn Chí Thanh, Quận Đống Đa,Hà Nội", 40m2,,,,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441310.8806732,
"5,1 tỷ VNĐ",Cầu Giấy, 40m2,, 5, 6,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441313.4294066, 4
"2,85 tỷ VNĐ","Đường Quan Nhân, Nhân Chính, Thanh Xuân", 35m2, 10, 2, 3,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441315.089878,
"5,8 tỷ VNĐ","Mặt phố Tây Sơn, Đống Đa Hà Nội", 22m2,,,,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441317.1956851,
"2,2 tỷ VNĐ","Đường Chính Kinh, Nhân Chính, Thanh Xuân", 20m2, 2,,,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441319.5520666,
17 tỷ VNĐ,"Đường Bồ Đề, Long Biên, Long Biên", 140m2, 10, 5, 3, 4,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441322.0033648, 5
"3,8 tỷ VNĐ","Đường Trần Bình, Cầu Diễn, Nam Từ Liêm", 33m2, 6, 5, 4, 4,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441324.2544236, 4
"15,5 tỷ VNĐ",Phan Văn Trường Cầu Giấy, 60m2,,,,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441326.4473772, 7
31 tỷ VNĐ,"Đường Trường Chinh, Ngã Tư Sở, Đống Đa", 80m2, 30, 8, 8, 8,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441328.694633, 8
31 tỷ VNĐ,"Đường Trường Chinh, Ngã Tư Sở, Đống Đa", 80m2, 30, 8, 8, 8,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441331.403491, 8
"4,4 tỷ VNĐ","Đường Võ Chí Công, Nghĩa Đô, Cầu Giấy", 46m2, 3, 4, 4, 3,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441333.5113657, 7
4 tỷ VNĐ,"Đường 1, Long Biên, Long Biên", 43m2,,,,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441335.7146337, 4
"12,1 tỷ VNĐ","Đường Miếu Đầm, Mễ Trì, Nam Từ Liêm", 90m2, 7, 6, 17, 17,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441338.1739302, 6
"2,3 tỷ VNĐ","Đường Đại lộ Thăng Long, Đông La, Hoài Đức", 45m2, 4, 4, 4, 3,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441340.983108, 4
"14,8 tỷ VNĐ","Đường Đặng Tiến Đông, Trung Liệt, Đống Đa", 50m2, 5, 8, 6,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441342.7048287, 7
"12,3 tỷ VNĐ","Đường Hào Nam, Cát Linh, Đống Đa", 52m2, 3, 5,,,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441345.0978944,
5 tỷ VNĐ,"Đường Chiến Thắng, Cát Linh, Đống Đa", 50m2, 2, 1, 1, 1,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441363.7723968, 5
