price,address,Diện tích,Lộ giới,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Số toilet,Hướng
"24,5 tỷ VNĐ",Đường  phường Nam Đồng, 60m2, 1, 5,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492197.4006813,,,,
280 triệu VNĐ/m2,"Bán nhà vị trí đẹp số 9B TTQĐ 12A Lý Nam Đế, Hoàn Kiếm, 280tr/m2; 0912552577", 77.4m2,,,23/09/2022,Tin thường,batdongsan_so_com_vn_1670492198.4600804,,,,
"3,2 tỷ VNĐ",Hà Cầu Hà Trì Hà Đông, 37m2,,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492199.5825438,,,,
"6,1 tỷ VNĐ","Phố Quỳnh Mai, Phường Quỳnh Mai", 50m2, 3, 5,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492201.02218, 3, 4, 4,
"6,1 tỷ VNĐ","Đường Quỳnh Mai, Phường Quỳnh Mai", 50m2, 3, 5,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492202.579573, 3, 4, 4,
"9,25 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 50m2, 4, 6,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492203.8561695, 4, 6, 6,
"3,65 tỷ VNĐ","Bán nhà 4 tầng số 6 ngách 87/22 Tam Trinh, P.Mai Động, Hoàng Mai, 3,65 tỷ; 0962776269", 33m2,,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492204.968552,,,,
"19,7 tỷ VNĐ",Đường Nguyễn Khoái phường Bạch Đằng, 96m2, 10, 4,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492206.056934, 6, 5, 6,
"13,5 tỷ VNĐ",Quận Cầu Giấy, 80m2,,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492207.3183565,,,,
"12,6 tỷ VNĐ",Đường Phạm Tuấn Tài phường Nghĩa Tân, 45m2, 5, 6,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492208.4122055, 4, 8, 3,
"6,2 tỷ VNĐ","Yên Bình, Văn Quán, Hà Đông", 64m2, 3,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492209.6432507, 4,,,
"2,6 tỷ /tháng",Tổ 7 đa sỹ, 36m2, 11, 2,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492211.5307398, 3, 2, 2,
900 triệu VNĐ,Thanh Trì, 132m2, 22,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492212.9958866, 6,,,
"1,44 tỷ VNĐ",vp 6 linh đàm, 61m2,,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492214.628839,, 2, 2, Đông bắc
840 triệu VNĐ,hoàn kiếm hà nội, 80m2, 6,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492216.1120055, 5,,,
"6,2 tỷ VNĐ","Đường Yên Bình, Văn Quán, Hà Đông", 64m2, 3,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492218.013303, 4,,,
9 tỷ VNĐ,"93 Láng Hạ, quận Đống Đa, Hà Nội", 110m2,,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492219.6582747,, 3, 2, Đông nam
"3,1 tỷ VNĐ",Đường Cổ Điển A phường Tứ Hiệp, 127m2, 20,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492220.8970718,, 4, 3,
"1,62 tỷ VNĐ","Bán CHTT Học viện KTQS 212 Tân Xuân, Xuân Đỉnh, Bắc Từ Liêm, 1,62 tỷ; 0932555268", 68m2,,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492224.6436446,,,,
"9,5 tỷ VNĐ",20, 75m2,,,27/09/2022,Tin thường,batdongsan_so_com_vn_1670492226.0597832, 5,,,
