price,address,Diện tích,Số tầng,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet,Hướng
"7,75 tỷ VNĐ",Văn Khê - Hà Đông, 50m2, 5,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441200.7173502,,,,,
"3,5 tỷ VNĐ",Văn Quán - Hà Đông, 33m2, 5,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441202.5404847,,,,,
"3,3 tỷ VNĐ",Mỗ Lao- Hà Đông, 33m2, 5,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441204.8229663,,,,,
"6,58 tỷ VNĐ","Đường Đình Thôn, Mỹ Đình 1, Nam Từ Liêm", 64m2, 4,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441207.2365599, 5, 3, 5, 4,
"4,65 tỷ VNĐ","Đường Láng, Láng Thượng, Đống Đa", 37m2, 4,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441209.375897, 5, 9, 3, 2,
55 tỷ VNĐ,"Đường Trần Đăng Ninh, Dịch Vọng, Cầu Giấy", 220m2, 5,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441212.2246087, 9, 9, 4, 4, Đông nam
"3,9 tỷ VNĐ","Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy", 35m2, 5,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441214.6439085, 4, 3,,,
18 tỷ VNĐ,"Đường Hào Nam, Ô Chợ Dừa, Đống Đa", 45m2, 4,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441216.9963846, 4, 30, 4, 4,
"4,15 tỷ VNĐ","Đường Bờ Sông, Quan Hoa, Cầu Giấy", 30m2, 5,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441218.890667, 3, 3, 3, 3,
"3,85 tỷ VNĐ","Đường Cổ Nhuế, Cổ Nhuế 1, Bắc Từ Liêm", 35m2, 5,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441220.8909194, 4, 2, 3, 4,
"3,88 tỷ VNĐ","Đường Trung Văn, Đại Mỗ, Nam Từ Liêm", 32m2, 6,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441224.214106, 4, 3,,,
"4,35 tỷ VNĐ",Ngọc Hồi, 35m2,,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441226.714502,,,,,
"2,6 tỷ VNĐ",Thanh Nhàn - Hà Nội, 40m2,,03/12/2022,Tin thường,batdongsan_so_com_vn_1670441229.2454875,,,,,
"3,2 tỷ VNĐ","Đường Thọ Lão, Đồng Nhân, Hai Bà Trưng", 31m2, 4,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441231.4391534, 3, 15, 3, 4,
"3,7 tỷ VNĐ","Đường Ngũ Hiệp, Ngũ Hiệp, Thanh Trì", 55m2, 4,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441233.220387, 4, 5, 4, 4,
"14,3 tỷ VNĐ",Trần Quang Diệu Đống Đa Hà Nội, 42m2, 5,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441235.7182703, 4,, 6, 6,
"3,2 tỷ VNĐ","Đường Bạch Mai, Thanh Nhàn, Hai Bà Trưng", 40m2, 4,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441238.2139812, 4, 15, 3, 4,
"4,444444 tỷ VNĐ","Đường Thịnh Liệt, Thịnh Liệt, Hoàng Mai", 30m2, 6,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441240.3699942, 5, 20, 4, 5,
"3,85 tỷ VNĐ","Đường Miêu Nha, Tây Mỗ, Nam Từ Liêm", 53m2, 5,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441242.5832093,, 5, 6, 6,
950 triệu VNĐ,"Đường Thái Hà, Thịnh Quang, Đống Đa", 32m2, 1,02/12/2022,Tin thường,batdongsan_so_com_vn_1670441244.7203298,, 10, 2, 1,
