price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Lộ giới
"6,15 tỷ VNĐ","Thanh Xuân, Hà Nội", 46m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440104.3274307,,,,,
"5,95 tỷ VNĐ",Trích Sài, 45m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440106.2905908, 4, 4, 4, 5,
"1,14 tỷ VNĐ","xã Cổ Đông, Thị Xã Sơn Tây, tp Hà Nội", 60m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440108.56045,,,,,
"2,45 tỷ VNĐ","Đường Quốc lộ 3, Tiên Dương, Đông Anh", 61m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440110.6512833, 7,,,,
"4,9 tỷ VNĐ","Đường Thái Thịnh, Thịnh Quang, Đống Đa", 66m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440112.8502536, 3, 4, 4, 4, 2
"4,65 tỷ VNĐ","Đường Nguyễn Khang, Quan Hoa, Cầu Giấy", 45m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440115.1332405, 9, 3, 3, 4, 2
"8,5 tỷ VNĐ","Đường Minh Khai, Minh Khai, Hai Bà Trưng", 66m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440116.8086865, 6, 4, 4, 4, 6
"23,5 triệu VNĐ",phường bưởi quận tây hồ, 79m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440118.632413,,,,,
"3,6 tỷ VNĐ","Đường Tố Hữu, La Khê, Hà Đông", 155m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440121.0720701,, 1, 4, 3, 13
"24,68 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 150m2,23/08/2022,Tin thường,batdongsan_so_com_vn_1670440122.9091215, 8, 3, 5, 5, 15
"12,345678 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 123m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440125.2424288, 6,,,,
"2,999999 tỷ VNĐ",Đường Ngô Xuân Quảng phường Trâu Quỳ, 30m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440127.1524045, 3,,,,
"1,155 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 60m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440129.726277, 8, 25, 2, 1, 50
"7,070707 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 60m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440131.9317374, 4,,,,
"6,666666 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 60m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440134.3201473, 4,,,,
"4,56789 tỷ VNĐ",Đường Cửu Việt phường Trâu Quỳ, 65m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440136.9106388, 4,,,,
"3,21 tỷ VNĐ",Đường An Lạc phường Trâu Quỳ, 55m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440139.6539428, 4,,,,
"4,56789 tỷ VNĐ",Đường Ngô Xuân Quảng phường Trâu Quỳ, 45m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440142.1533809, 4,,,,
"12,21 tỷ VNĐ",Đường Nguyễn Mậu Tài phường Trâu Quỳ, 66m2,24/08/2022,Tin thường,batdongsan_so_com_vn_1670440145.9549067, 7,,,,
"88,888888 triệu VNĐ/m2","Trâu Quỳ, Gia Lâm, Hà Nội", 40m2,07/12/2022,Tin thường,batdongsan_so_com_vn_1670440148.7416599,,,,, 11
