price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Lộ giới,Số toilet
"5,45 tỷ VNĐ",lê quang đạo, 51m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506178.9071853,,,,,
"6,25 tỷ VNĐ/m2","Đường Láng, quận Đống Đa", 42m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506182.255271, 3, 5, 8,,
32 ngàn VNĐ,Đường Việt Hưng phường Việt Hưng, 200m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506183.3132703, 10, 5, 6, 10, 6
4 tỷ VNĐ,Nguyễn Trãi, 34m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506184.4263244, 3, 5,,,
"7,6 tỷ VNĐ",Phố Bạch Mai, 40m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506185.9342346,,,,,
24 tỷ VNĐ,"KĐT Văn Quán, Hà Đông, Hà Nội.", 110m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506187.109595, 6, 5, 4, 12,
"1,25 tỷ VNĐ",Đường Cổ Loa phường Uy Nỗ, 40m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506188.1129487, 6,,,,
4 tỷ VNĐ,"Phố Lò Sũ Phường Lý Thái Tổ, Hoàn Kiếm , Hà Nội", 36m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506189.269886,, 5, 3,,
"9,35 tỷ VNĐ",Võ Chí Công, 70m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506190.2852993,,,,,
21 tỷ VNĐ,Đường Kim Quan Thượng phường Việt Hưng, 350m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506191.131039, 20,,,,
"7,4 tỷ VNĐ","lý thường kiệt , phú la , hà đông", 45m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506192.3189185,, 5, 4,, 5
"9,85 tỷ VNĐ",Đường Lâm Hạ phường Bồ Đề, 46m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506193.2254636, 4, 5, 4, 5, 4
"3,5 tỷ VNĐ",Phùng Hưng- Hà Đông, 40m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506194.4122632,, 5,,,
"3,7 tỷ VNĐ",Cầu Đơ- Hà Đông, 40m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506195.403612,, 5,,,
"4,8 tỷ VNĐ",Trần Phú- Hà Đông, 50m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506196.3611853,, 4,,,
"4,85 tỷ VNĐ",Nguyễn Văn Trỗi- Hà Đông, 50m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506197.3355813,, 4,,,
"4,85 tỷ VNĐ",Nguyễn Văn Trỗi- Hà Đông, 50m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506198.239118,, 4,,,
"4,8 tỷ VNĐ",Trần Phú- Hà Đông, 50m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506199.4140944,, 4,,,
"3,7 tỷ VNĐ",Cầu Đơ- Hà Đông, 40m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506200.3086476,, 5,,,
"3,5 tỷ VNĐ",Phùng Hưng- Hà Đông, 40m2,24/07/2022,Tin thường,batdongsan_so_com_vn_1670506201.4596417,, 5,,,
