price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"3,65 tỷ VNĐ","Bùi Xương Trạch, Thanh Xuân, Hà Nội", 36m2, 4, 4, 4,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502423.5369906,,,
"3,9 tỷ VNĐ",Đường Hồng Tiến phường Bồ Đề, 43m2,,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502424.834521, 7,,
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2, 10, 2, 2,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502425.984893,,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2, 10, 1, 1,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502427.4691272,,,
"1,9 tỷ VNĐ",phường tây mỗ đại mỗ, 43m2, 10, 1, 1,11/08/2022,Tin thường,batdongsan_so_com_vn_1670502428.834517,,,
"3,2 tỷ VNĐ",Ngọc Thụy, 30m2, 5, 3,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502430.7619152, 4,,
"20,5 tỷ VNĐ",Đường Mạc Thái Tổ phường Yên Hòa, 43m2, 8, 5, 5,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502431.7841816, 4, 10,
5 tỷ VNĐ,"BÁN NHÀ TÂN MAI 50M X 4 TẦNG MẶT TIỀN 4,8 GIÁ 5TỶ", 50m2,,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502432.7705455,,,
"4,6 tỷ VNĐ",Phan Đình Giót- Hà Đông, 39m2, 5,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502434.199723,,,
"4,65 tỷ VNĐ",Yên Phúc- Hà Đông, 40m2, 5,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502435.7874787,,,
"15,5 tỷ VNĐ",Tô Hiệu- Hà Đông, 80m2, 4,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502436.9613879,,,
"15,6 tỷ VNĐ",Lê Hồng Phong- Hà Đông, 80m2, 4,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502438.1691074,,,
"3,5 tỷ VNĐ",phố Đại La, 38m2,,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502439.4167717,,,
9 tỷ VNĐ,25 Lê Văn Lương, 160m2, 10, 4, 3,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502440.398194, 6, 15, Đông nam
"6,2 tỷ VNĐ","25 Lê Văn Lương, Phường Trung Hòa, Cầu Giấy", 106m2, 10, 3, 2,02/03/2022,Tin thường,batdongsan_so_com_vn_1670502441.6882055,,, Đông nam
"8,2 tỷ VNĐ",25 Lê Văn Lương, 160m2, 10, 4, 3,03/03/2022,Tin thường,batdongsan_so_com_vn_1670502443.0855148,,, Tây bắc
4 tỷ VNĐ,25 Lê Văn Lương, 62m2, 10, 2, 1,04/03/2022,Tin thường,batdongsan_so_com_vn_1670502444.614804,,, Đông nam
9 tỷ VNĐ,"25 Lê Văn Lương, Nhân Chính, Thanh Xuân", 150m2, 10, 4, 3,11/03/2022,Tin thường,batdongsan_so_com_vn_1670502451.168811,,, Tây nam
"6,7 tỷ VNĐ",25 Lê Văn Lương, 106m2, 10, 3, 2,14/03/2022,Tin thường,batdongsan_so_com_vn_1670502452.2519705,,, Đông nam
"3,1 tỷ VNĐ","135 Trần Phú, Phường Văn Quán, Quận Hà Đông", 70m2,,,,12/08/2022,Tin thường,batdongsan_so_com_vn_1670502453.3230517,,, Đông nam
