price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"5,5 tỷ VNĐ",CẦU GIẤY - HÀ NỘI, 40m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494548.5450351,,,,,
"4,9 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 105m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494549.8064594, 5, 10, 3, 2, 2
"3,4 tỷ VNĐ",Đường Lê Trọng Tấn phường Dương Nội, 33m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494550.8630445, 4, 4, 5, 4, 4
"3,4 tỷ VNĐ",Đường Lê Trọng Tấn phường Dương Nội, 33m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494551.7799304, 4, 4, 5, 4, 4
"6,1 tỷ VNĐ","Đường Trương Định, Phường Thịnh Liệt", 45m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494553.0548384, 4, 10, 4, 3, 3
"5,7 tỷ VNĐ",Đường Láng Hạ phường Láng Hạ, 70m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494554.3730996, 7, 1,, 2, 2
"3,65 tỷ VNĐ",Đường Xuân La phường Xuân La, 99m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494555.2587295, 5, 10, 3, 3, 2
"11,9 tỷ VNĐ",Đường Phố Trạm phường Long Biên, 75m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494556.5408986, 5, 20, 6, 5, 5
"5,7 tỷ VNĐ",Đường Phùng Chí Kiên phường Nghĩa Đô, 100m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494557.6523697, 8, 8, 1, 3, 2
"2,6 tỷ VNĐ","phố Đặng Văn Ngữ, Nam Đồng, Đống đa", 26m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494558.6868236, 3,, 4, 3, 3
"3,45 tỷ VNĐ",Đường Nguyễn Văn Linh phường Thạch Bàn, 30m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494559.6774135, 6, 3, 6, 5, 5
"1,5 tỷ VNĐ",135 Trần Phú, 98m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494560.8927844,,,, 2, 2
"6,1 tỷ VNĐ","Đường Trương Định, Phường Thịnh Liệt", 45m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494561.9709432, 4, 10, 4, 3, 3
"2,245 tỷ VNĐ",Đường 3 phường Xuân Nộn, 59m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494563.099178, 4,,,,
7 tỷ VNĐ,Vũ Tông Phan, 50m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494564.4102952,,, 5,,
"13,5 tỷ VNĐ",Trường Chinh Đống Đa Hà Nội, 75m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494565.5082753, 4,, 7, 10,
62 triệu VNĐ,Đường Nguyên Khê phường Nguyên Khê, 88m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494566.7678983, 8,,,,
"1,95 tỷ VNĐ","Chính chủ bán gấp ki-ốt 12C tầng 1 chung cư Phương Đông Green Park, số 1 Trần Thủ Độ, KĐT Pháp Vân, Hoàng Mai, 1,95 tỷ;", 38m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494567.611409,,,,,
"5,9 tỷ VNĐ","Đa Sỹ, Hà Đông, Hà Nội", 70m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494571.8825629, 7, 5, 1, 2,
"3,4 tỷ VNĐ",Ngõ Gốc Đề Hoàng Mai Hà Nội, 38m2,20/09/2022,Tin thường,batdongsan_so_com_vn_1670494573.6900544, 4,, 4, 5,
