price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet,Hướng
9 ngàn VNĐ,"Đường Thái Thịnh, Thịnh Quang, Đống Đa", 52m2, 5, 4, 5, 5,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466746.3455985,,
"8,5 tỷ VNĐ","Đường Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy", 45m2, 5, 23, 4, 3,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466748.682484, 4,
"3,902 tỷ VNĐ","Đường Ngọc Thụy, Ngọc Thụy, Long Biên", 45m2, 5, 3, 5, 3,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466750.9282794, 4, Đông bắc
9 tỷ VNĐ,"Đường Tây Thăng Long, Phùng, Đan Phượng", 200m2, 8, 12, 3, 6,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466752.6878536, 5,
"4,2 tỷ VNĐ","Đường Ngô Quyền, La Khê, Hà Đông", 40m2, 4, 3, 4, 4,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466755.674718, 3,
"1,3 tỷ VNĐ",Tiền phong- Mê linh- Hà nội, 53m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466757.8042667,,
"4,9 tỷ VNĐ",Tây sơn Đống đa HN, 61m2, 5,, 4, 3,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466760.0573173, 3,
14 tỷ VNĐ,"Đường Võ Thị Sáu, Thanh Nhàn, Hai Bà Trưng", 59m2, 3, 5, 5, 4,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466762.773719, 7,
"8,15 tỷ VNĐ","Đường Hàm Nghi, Mỹ Đình 1, Nam Từ Liêm", 60m2, 5, 3, 5, 6,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466765.7745817, 5,
9 tỷ VNĐ,"Đường Tây Thăng Long, Phùng, Đan Phượng", 200m2, 8, 12, 3, 6,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466767.6138613, 5,
"5,15 tỷ VNĐ","Đường Trần Thái Tông, Dịch Vọng Hậu, Cầu Giấy", 40m2, 5, 3, 4, 4,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466769.854672, 3,
"1,7 tỷ VNĐ",Xuân Bách - Quang Tiến - Sóc Sơn - Hà Nội, 66m2, 4,, 2, 3,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466772.07129, 2,
"3,8 tỷ VNĐ","⭐Bán nhà 165m2 đất tặng nhà C4, SĐCC, giá đầu tư, có sân rộng Vân Côn, Hoài Đức, 3,8 tỷ, 0983227286", 165m2,,,,,08/11/2022,Tin thường,batdongsan_so_com_vn_1670466774.6801946,,
29 tỷ VNĐ,"Đường Thái Hà, Trung Liệt, Đống Đa", 110m2, 5, 1, 5, 1,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466776.3662062, 1,
"2,65 tỷ VNĐ",Khu D - TT Sóc Sơn - Sóc Sơn - Hà Nội, 86.4m2, 3,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466779.0127518,,
"9,9 tỷ VNĐ","Đường Văn Cao, Liễu Giai, Ba Đình", 62m2,, 1, 5,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466781.3951797,,
"21,5 tỷ VNĐ","Đường Võng Thị, Thụy Khuê, Tây Hồ", 91m2, 6, 4, 8, 13,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466783.7411804, 13,
"11,6 tỷ VNĐ","Đường Nguyễn Đổng Chi, Cầu Diễn, Nam Từ Liêm", 66m2,, 3, 7, 12,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466785.5204017, 13,
50 tỷ VNĐ,"Đường Văn Cao, Liễu Giai, Ba Đình", 101m2, 6, 40, 4, 3,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466789.3997872, 3,
"2,55 tỷ VNĐ","Đường Đại Lộ Thăng Long, Đại Mỗ, Nam Từ Liêm", 60m2,, 1,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466791.578491,,
