price,address,Diện tích,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Hướng
"3,2 tỷ VNĐ",khu đô thị mới tây nam linh đàm, 68m2, 10, 2, 3,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501313.8741236,,,
"2,6 tỷ VNĐ",Đường Lê Hồng Phong phường Nguyễn Trãi, 40m2, 2, 2,,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501315.551642, 4, 1,
"2,7 tỷ VNĐ","Đa sỹ, Hà Đông, Hà Nội.", 45m2, 1, 2,,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501316.8920813, 4, 2,
4 tỷ VNĐ,1x6/6 Thạch Bàn, 45m2, 3, 3, 3,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501317.9193332, 4,,
"26,8 tỷ VNĐ","Phố Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội.", 75m2, 5, 4, 5,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501318.9904704, 6, 8,
"5,3 tỷ VNĐ",Đường Hoàng Quốc Việt phường Nghĩa Tân, 40m2,, 2, 2,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501320.2551284, 4, 5,
35 tỷ VNĐ,Bán nhà mặt phố Thái Hà 66m 5T giá 35 tỷ có TL, 66m2,,,,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501329.737182,,,
"9,9 tỷ VNĐ",Đường Mỹ Đình phường Mỹ Đình 1, 70m2, 7, 13, 13,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501330.7195976, 7, 4,
180 tỷ VNĐ,Đường Hoàng Quốc Việt phường Nghĩa Đô, 291m2, 9, 1, 9,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501340.087771, 8, 20,
"2,3 tỷ VNĐ","xóm 2 đông dư, gia lâm, hà nội", 32m2, 3, 2, 2,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501341.1309826, 3,, Đông bắc
"2,4 tỷ VNĐ","xóm 5 đông dư, gia lâm, hà nội", 36m2, 3, 3, 2,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501342.5442016, 4,, Tây nam
"4,7 tỷ VNĐ","Trương Định, Thịnh Liệt, Hoàng Mai", 50m2,,,,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501343.6003778,,,
"2,8 tỷ VNĐ",Đường Đại Mỗ phường Tây Mỗ, 55m2, 28, 1, 1,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501345.014598,, 20,
"2,3 tỷ VNĐ",Đường Kẻ Vẽ phường Đông Ngạc, 37m2,,,,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501346.2704985, 5,,
"3,5 tỷ VNĐ",Đường Tứ Hiệp phường Tứ Hiệp, 126m2, 12, 4, 3,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501347.3700862, 10, 1,
22 tỷ VNĐ,Đường Nghi Tàm phường Yên Phụ, 105m2,,,,17/08/2022,Tin thường,batdongsan_so_com_vn_1670501348.3794143, 6, 20,
"3,4 tỷ VNĐ","Xuân Đỉnh, Bắc Từ Liêm, Hà Nội", 45m2, 4, 3, 4,10/07/2021,Tin thường,batdongsan_so_com_vn_1670501349.4076374,,,
"2,35 tỷ VNĐ","Đông Ngạc, Bắc Từ Liêm, Hà Nội", 35m2, 5, 3, 4,10/07/2021,Tin thường,batdongsan_so_com_vn_1670501350.662283,,,
