price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Ngày đăng,Loại tin,id,Số toilet
"5,5 tỷ VNĐ",Đường Nguyễn Lân phường Nhân Chính, 48m2, 5, 2, 4, 3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498138.654717,
"3,8 tỷ VNĐ",Đường Xã Đàn phường Trung Phụng, 45m2, 5, 15, 4, 3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498139.6045806, 4
3 tỷ VNĐ,ngọc thụy, 30m2, 4, 3, 5, 3,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498140.448264, 4
"3,6 tỷ VNĐ",Đường Trần Đại Nghĩa phường Đồng Nhân, 40m2, 4, 3, 5, 6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498141.4825275, 4
"11,8 tỷ VNĐ",Đường Thái Hà phường Trung Liệt, 50m2, 3, 6, 6, 6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498142.7083416, 5
"19,3 tỷ VNĐ",Đường Dương Văn Bé phường Vĩnh Tuy, 115m2, 45, 6, 6, 8,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498143.830378, 9
"2,8 tỷ VNĐ",Đường Phúc Lợi phường Phúc Lợi, 38m2, 5,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498144.9902875,
"22,5 tỷ VNĐ/m2",đường Phú Đô, 162m2,,,,,10/04/2022,Tin thường,batdongsan_so_com_vn_1670498146.0139666,
"14,1 tỷ VNĐ",Phố Tây Sơn, 54m2,,,,,24/04/2022,Tin thường,batdongsan_so_com_vn_1670498146.9974852,
"14,1 tỷ VNĐ",Phố Tây Sơn, 54m2,,,,,24/04/2022,Tin thường,batdongsan_so_com_vn_1670498148.1792629,
21 tỷ VNĐ,Vũ Thạnh, 91m2,,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498148.9327607,
"9,5 tỷ VNĐ",Đường Thạch Cầu phường Long Biên, 80m2, 5, 15, 1, 2,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498149.947054, 2
"3,4 tỷ VNĐ",Đường Bạch Mai phường Cầu Dền, 50m2, 5, 2, 4, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498150.9004416, 4
7 tỷ VNĐ,Trường Chinh, 46m2,,, 5,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498151.9261327,
"7,5 tỷ VNĐ","Đường Thịnh Quang, Phường Ngã Tư sở.", 46m2, 4, 3, 5, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498153.0121763, 4
"3,2 tỷ VNĐ",Đường Bạch Mai phường Cầu Dền, 45m2, 5, 2, 5, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498153.9766324, 5
"7,5 tỷ VNĐ","Đường Thịnh Quang, Phường Ngã Tư Sở", 46m2, 4, 3, 5, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498154.9160862, 4
"22,5 tỷ VNĐ","Nguyễn Văn Lộc, Hà Đông, Hà Nội", 110m2, 20, 10, 5, 6,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498156.078975,
"6,9 tỷ VNĐ","Phố Vương Thừa Vũ, Phường Khương Mai", 55m2, 4, 5, 4, 4,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498157.0446231, 4
,"Chính chủ bán ShopHouse khu K7 mặt đường 51m dự án StarLake Tây hồ Tây, 0974785400", 195m2,,,,,31/08/2022,Tin thường,batdongsan_so_com_vn_1670498158.013072,
