price,address,Diện tích,Lộ giới,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Loại tin,id,Mặt tiền,Hướng
"4,15 tỷ VNĐ","Đường Phạm Ngọc Thạch, Trung Tự, Đống Đa", 35m2, 3, 4, 3, 4,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466624.1677716,,
"5,3 tỷ VNĐ","Đường Hồ Đắc Di , Nam Đồng, Đống Đa", 55m2, 3, 3, 3, 3,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466641.554117,,
10 triệu VNĐ/m2,"Chính chủ mở bán lô đất 264m thôn Chùa Nấu, Sóc Sơn siêu đẹp siêu rẻ; 10tr/m2; 0816248888", 264m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466643.5860662,,
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466645.7903125, 10,
200 triệu VNĐ,"Đường Nguyễn Khang, Trung Hòa, Cầu Giấy", 250m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466647.992623, 10,
"5,9 tỷ VNĐ","Đường Ngọc Đại, Mỹ Đình 1, Nam Từ Liêm", 46m2, 3, 5, 7, 5,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466650.1378076, 3,
"2,2 tỷ VNĐ","HUỲNH VĂN NGHÊ, SÀI ĐỒNG, LB HN", 98m2, 20, 10, 3, 2,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466652.797535, 9, Bắc
"2,2 tỷ VNĐ","Đường Cổ Điển A, Tứ Hiệp, Thanh Trì", 90m2, 1, 18, 2, 2,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466659.2598138,,
3 tỷ VNĐ,"Chúc Đồng, Thụy Hương , Chương Mỹ, Hà Nội", 182m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466661.6047053,,
"2,5 tỷ VNĐ",Cổ Dương - Tiên Dương - Đông Anh - Hà Nội, 68.7m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466664.6628382, 5,
"6,5 tỷ VNĐ",Sáp Mai - Võng La - Đông Anh - Hà Nội, 135.5m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466667.3431027, 7,
400 triệu VNĐ,"Đường La Phù, La Phù, Hoài Đức", 40m2, 1,, 2, 1,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466669.5479658,, Đông nam
"3,062 tỷ VNĐ",Thôn Quảng Hội - Xã Quang Tiến - Sóc Sơn - Hà Nội, 125.2m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466671.3666742, 4,
37 tỷ VNĐ,"Đường Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng", 94m2, 8, 4,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466673.6572838, 6,
37 tỷ VNĐ,"Đường Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng", 95m2, 8, 4, 4, 4,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466676.0703304, 6,
900 triệu VNĐ,"Đường 19/12, Chương Dương Độ, Hoàn Kiếm", 132m2, 1,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466679.1366067, 6,
"6,2 tỷ VNĐ","Đường Thái Hà, trung liệt, Đống Đa", 37m2, 4, 5, 3, 5,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466682.2613876, 4,
9 tỷ VNĐ,"Đường Tây Thăng Long, Phùng, Đan Phượng", 200m2, 12, 3, 6, 5,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466684.9115977, 8,
"34,5 triệu VNĐ","Đường Liên Hà, Đông Anh, Đông Anh", 99m2,,,,,11/11/2022,Tin thường,batdongsan_so_com_vn_1670466687.1465287, 6,
