price,address,Diện tích,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
"1,3 tỷ VNĐ",QUang Trung, 38m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490724.6574836,,,,,
3 tỷ VNĐ,"gia thương, thượng thanh", 33m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490726.2230725, 4, 4, 4, 3, 4
"3,3 tỷ VNĐ",Hà Trì- Hà Đông, 37m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490730.0132513,,, 5,,
"3,3 tỷ VNĐ",Đa Sỹ- Hà Đông, 38m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490732.6657321,,, 5,,
"7,68 tỷ VNĐ",Kiến Hưng- Hà Đông, 63m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490735.8263283, 5,,,,
"7,69 tỷ VNĐ",Kiến Hưng - Hà Đông, 63m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490739.4760594, 5,,,,
"13,8 tỷ VNĐ",Đường Xuân La phường Xuân La, 90m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490742.671226, 6, 5, 5, 12, 5
"8,3 tỷ VNĐ",Đường Nguyễn Văn Tuyết phường Trung Liệt, 52m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490744.594561,, 1, 3,,
"9,5 tỷ VNĐ",Đường Nguyễn Hoàng Tôn phường Xuân Đỉnh, 62m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490750.364813, 4, 5, 5, 4, 5
"3,85 tỷ VNĐ",Đường Minh Khai phường Minh Khai, 37m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490751.8222232, 4, 2, 4, 2, 2
"4,65 tỷ VNĐ",Đường Phố Tân Mai phường Tân Mai, 52m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490753.570798, 3, 2, 5, 6, 4
"4,6 tỷ VNĐ",Đường Khương Đình phường Khương Đình, 38m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490758.7227752, 4, 1,,,
"6,5 tỷ VNĐ",Đường Giảng Võ phường Cát Linh, 31m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490761.174908, 5, 10, 4, 3, 3
150 tỷ VNĐ,Đường tràng tiền phường Tràng Tiền, 320m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490765.113908, 8, 20, 6, 10, 12
"2,5 tỷ VNĐ","Cửa Đông, Hoàn Kiếm", 32m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490766.4263737,,,,,
8 tỷ VNĐ,Đường Ngọc Hà phường Ngọc Hà, 60m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490767.7968526, 6, 3, 2, 3, 3
9 tỷ VNĐ,Đường Cầu Giấy phường Quan Hoa, 58m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490769.1690254, 3, 3, 6, 9, 9
"3,5 tỷ VNĐ","Đường Nguyễn An Ninh, Phường Tương Mai.", 35m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490771.1687858, 3, 3, 5, 3, 4
"4,65 tỷ VNĐ",Đường Hoàng Đạo Thành phường Kim Giang, 33m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490773.0538976, 4, 4, 5, 5,
"3,5 tỷ VNĐ","Đường Nguyễn An Ninh, Phường Tương Mai", 35m2,02/10/2022,Tin thường,batdongsan_so_com_vn_1670490774.8875997, 3, 3, 5, 3, 4
